time,world_time,Penpos_x[mm],Penpos_y[mm],Penpos_z[mm],Pensaki_x[mm],Pensaki_y[mm],Pensaki_z[mm],Pensaki_relative_x[mm],Pensaki_relative_y[mm],Pensaki_relative_z[mm],velo_x[mm/s],velo_y[mm/s],velo_z[mm/s],velo_xyz[mm/s],Pen_qx,Pen_qy,Pen_qz,Pen_qw,Pen_yaw[rad],Pen_pitch[rad],Pen_roll[rad],Headpos_x[mm],Headpos_y[mm],Headpos_z[mm],Headori_0,Headori_1,Headori_2,Headori_3,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,Fcx,Fcy,Fcz,LPF_Fcx,LPF_Fcy,LPF_Fcz,egx,egy,egz,force_magnitude,touch_count
0.1790037,0.7391631,88.1127119064331,334.8345458507538,317.1205222606659,234.16873303592544,362.7749760541266,258.06981998582495,234.16873303592544,362.7749760541266,258.06981998582495,23416.873303592543,36277.49760541266,25806.981998582494,50303.152065277056,0.8056672215461731,0.18823860585689545,0.5612034797668457,0.022746756672859192,0.8325112382471922,-1.1100543709020254,2.5500561610842825,0,0,0,0,0,0,0,0.19265299999999752,0.17047249999999625,0.11348499999998156,0.04605509130026933,0.040752682551972154,0.027129409021454547,-0.00013128000000150845,-0.00017304000000076085,0.000675639999999117,0.2805234126644769,0.1947947227640796,0.14969046183224344,0.13392550396474867,0.06507490531605552,0.06333487085371642,-0.08787041266447936,-0.02432222276408336,0.036205461832261865,0.16249777603400944,
0.18802930000000007,0.7481887,88.10703456401825,334.8413407802582,317.2878324985504,234.4818018570994,362.78555110095454,259.03360857588484,234.4818018570994,362.78555110095454,259.03360857588484,31.306882117396185,1.057504682794308,96.37885900599107,101.34161853534498,0.8045536279678345,0.18638108670711517,0.5634467005729675,0.021987535059452057,0.8322872214497691,-1.1162266432430428,2.5485000770228456,0,0,0,0,0,0,0,0.10765299999999753,0.07047249999999627,0.10348499999998155,0.06078051633425101,0.04785741959731329,0.04538276460793453,-0.00013128000000150845,-0.00017304000000076085,-0.00012436000000088515,0.1957909501863671,0.09454740924535772,0.13920212104256585,0.14891846652062057,0.07193232884267473,0.08109988565051884,-0.08813795018636958,-0.02407490924536144,0.03571712104258431,0.1803475243420729,
0.19761820000000008,0.7577776,88.05039525032043,335.00564098358154,317.5417184829712,234.63649734496263,363.78182761807324,260.2315990387058,234.63649734496263,363.78182761807324,260.2315990387058,15.469548786323228,99.62765171186993,119.79904628209303,156.57837467343046,0.8028829097747803,0.18566948175430298,0.5661693811416626,0.018925290554761887,0.8339440011985157,-1.124629410217957,2.5500456347126663,0,0,0,0,0,0,0,0.07765299999999753,0.0054724999999962165,0.06348499999998151,0.06481400543480106,0.03772499839541642,0.04971023474190442,0.0014687199999984905,-0.0005730400000007602,0.00027563999999911937,0.16614976954259322,0.029078335947993146,0.09862326698424675,0.15331077497739676,0.06133083434341335,0.08484850172616965,-0.0884967695425957,-0.02360583594799693,0.03513826698426523,0.17614521340839326,
0.20674880000000007,0.7669082,88.06115388870239,335.2908194065094,317.8674578666687,234.83178491710697,365.1523499487757,261.59427764965017,234.83178491710697,365.1523499487757,261.59427764965017,19.528757214432034,137.0522330702395,136.26786109443566,194.2514270607346,0.8011632561683655,0.18436682224273682,0.5691538453102112,0.014498671516776085,0.8319604596171049,-1.135213189378585,2.556299155718288,0,0,0,0,0,0,0,0.12265299999999753,0.20047249999999628,0.1534849999999816,0.07864083489199061,0.0766309642785833,0.07451834200535126,-0.0017312800000015092,-0.00017304000000076085,0.0010756399999991215,0.21159282891392897,0.22333939196481464,0.1879874936205411,0.16758066380592207,0.09949785624340167,0.10902083562591075,-0.08893982891393144,-0.02286689196481836,0.034502493620559495,0.21882167551615797,1.0
0.21627000000000007,0.7764294,88.19197118282318,336.4264667034149,318.7211751937866,234.38560647272058,371.61299684240015,264.04637027147487,234.38560647272058,371.61299684240015,264.04637027147487,-44.61784443863803,646.0646893624466,245.20926218247197,692.4723222941242,0.7962585091590881,0.19191443920135498,0.5737083554267883,0.0001821149926399812,0.8511360549011838,-1.1519786793286706,2.5685584640326926,0,0,0,0,0,0,0,0.14765299999999754,0.14547249999999623,0.11348499999998156,0.09513869147807316,0.0930880306772403,0.08383360307893481,-0.00013128000000150845,-0.00017304000000076085,0.000675639999999117,0.2372742580622176,0.16710314345582028,0.14700748976797395,0.18475994954029323,0.11471867413306433,0.1173560928469272,-0.08962125806222007,-0.021630643455824036,0.033522489767992394,0.24588002632143202,1.0
0.2264161,0.7865755,88.1708562374115,336.60808205604553,318.96278262138367,234.57994600183608,372.8496642474823,265.5686578816673,234.57994600183608,372.8496642474823,265.5686578816673,19.433952911548925,123.66674050821591,152.22876101924632,197.09068195921773,0.7941126823425293,0.190372496843338,0.5771701335906982,-0.004253332037478685,0.8500618755513973,-1.1637537852126312,2.573507269391737,0,0,0,0,0,0,0,0.13265299999999752,0.060472499999996265,0.053484999999981506,0.10410675791899918,0.0852910524669491,0.07657855028641744,-0.00013128000000150845,0.0006269599999992395,0.000675639999999117,0.2227378062852187,0.0813677400651908,0.0862222727310201,0.19419156420422035,0.10618629253214364,0.10931582301745603,-0.09008480628522117,-0.02089524006519454,0.03273727273103859,0.24548201777630432,1.0
0.2364617,0.7966211,88.13084661960602,336.6777002811432,319.42883133888245,234.70383745612708,374.61956213536945,267.69131433654564,234.70383745612708,374.61956213536945,267.69131433654564,12.389145429100855,176.98978878871728,212.26564548783023,276.6506470520237,0.7910484075546265,0.18953141570091248,0.5815573334693909,-0.010549207217991352,0.8517711974492791,-1.1786183295052275,2.579316410569562,0,0,0,0,0,0,0,0.19265299999999752,0.025472499999996234,0.12348499999998157,0.12527437671204253,0.07099099539378906,0.08779187592437644,-0.00013128000000150845,0.00022695999999923847,0.001475639999999119,0.2833051319911018,0.04546105211620414,0.1552065651120393,0.21592650870314684,0.09097954750999696,0.11951344103643419,-0.09065213199110429,-0.019988552116207904,0.03172156511205775,0.2513539601656949,1.0
0.24640780000000007,0.8065672,88.08720111846924,336.9850218296051,320.0710415840149,234.66736331593694,377.5895313035889,270.41695474341395,234.66736331593694,377.5895313035889,270.41695474341395,-3.647414019014583,296.9969168219455,272.56404068682906,403.12731054382704,0.7868075370788574,0.19000768661499023,0.5868979096412659,-0.019539693370461464,0.8574488545791462,-1.1970793209961177,2.5868933142179946,0,0,0,0,0,0,0,0.14265299999999753,0.07047249999999627,0.09348499999998154,0.1294288621454371,0.07086704532449403,0.08915285835956177,0.0006687199999984919,-0.00017304000000076085,-0.00012436000000088515,0.23398182226241288,0.08933539089771932,0.12392916199412499,0.22075768440785246,0.08972993622221707,0.11959702035370523,-0.09132882226241534,-0.018862890897723045,0.030444161994143452,0.2546308664203994,1.0
0.25629250000000003,0.8164519,88.04517984390259,337.39158511161804,320.68192958831787,234.58493317308333,380.1573159381649,272.752869605178,234.58493317308333,380.1573159381649,272.752869605178,-8.243014285361227,256.778463457602,233.59148617640435,347.22918799296957,0.7836369276046753,0.18892188370227814,0.5911311507225037,-0.028029942885041237,0.8526978604443215,-1.21409949466038,2.601932833684704,0,0,0,0,0,0,0,0.14265299999999753,0.07047249999999627,0.08348499999998153,0.13259018782559331,0.07077272641463102,0.08779791587630188,0.0006687199999984919,-0.00017304000000076085,0.000675639999999117,0.23457812853487986,0.08807405565093313,0.11287150490214419,0.22451531636047564,0.08837428206556786,0.11718442077846454,-0.09192512853488233,-0.017601555650936844,0.029386504902162658,0.25695749598261103,1.0
0.266147,0.8263064,87.93459832668304,337.7435803413391,321.20808959007263,234.57039121730818,381.76503824475964,274.7316007289632,234.57039121730818,381.76503824475964,274.7316007289632,-1.454195577513251,160.77223065947277,197.87311237852157,254.95802289467846,0.7816553711891174,0.18507811427116394,0.5945764780044556,-0.035212401300668716,0.8341226673025243,-1.2301588535613075,2.624913359179462,0,0,0,0,0,0,0,0.08765299999999754,0.1054724999999962,0.1334849999999816,0.12184762846713436,0.07906795794786792,0.09871974336177669,0.00026871999999849086,-0.00017304000000076085,-0.0009243600000008803,0.18011635890801617,0.12166275344920659,0.1619808972329493,0.21431098737515297,0.09525821139707831,0.1272156405947444,-0.09246335890801863,-0.016190253449210393,0.02849589723296772,0.2531352464333126,1.0
