Format Version,1.23,Take Name,Take 2026-06-11 11.47.16 AM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-06-11 11.47.17.077 午前,Capture Start Frame,676780,Total Frames in Take,1284,Total Exported Frames,1284,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-0.059634,0.959351,0.145673,-0.234240,1.429128,-0.378299,0.651037,0.002415,1.374181,-0.396331,0.708886,0.842728,1.367098,-0.363869,0.601504,0.000000,1.404092,-0.382168,0.656600,0.121975,1.455928,-0.407006,0.734064,0.891463,1.479054,-0.354190,0.587059,0.000000,1.444752,-0.352758,0.570705,0.000000,1.478788,-0.391771,0.698439,0.000001,1.359490,-0.403078,0.593116,,,,1.494129,-0.377337,0.584791,1.450933,-0.369085,0.566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.374381,-0.396500,0.709458,,,,1.404854,-0.381194,0.653313,1.455563,-0.407052,0.734295,,,,,,,1.476115,-0.394846,0.700794
7,0.070000,-0.033507,0.970706,0.101800,-0.215046,1.431385,-0.386686,0.648917,0.001989,1.373631,-0.397053,0.705908,0.842728,1.371878,-0.375047,0.595692,0.000000,1.406026,-0.389124,0.653785,0.121975,1.453894,-0.408025,0.735368,0.891463,1.484591,-0.370702,0.585037,0.000000,1.451013,-0.369696,0.567212,0.000000,1.478657,-0.397153,0.699418,0.000001,1.359122,-0.403392,0.592692,,,,1.495376,-0.377901,0.585667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.374064,-0.397195,0.708357,,,,1.405211,-0.382406,0.652382,1.454981,-0.408314,0.734017,,,,1.451733,-0.369741,0.566401,1.475825,-0.396690,0.700486
8,0.080000,-0.028575,0.971060,0.106958,-0.211626,1.431686,-0.387382,0.648390,0.002024,1.373495,-0.397481,0.704983,0.377275,1.372623,-0.374572,0.594940,0.000000,1.406273,-0.389541,0.653101,0.000001,1.453452,-0.409694,0.734785,0.560706,1.485438,-0.371554,0.584929,0.000000,1.451974,-0.369985,0.566932,0.728787,1.478546,-0.398845,0.699059,0.234352,1.359064,-0.403917,0.591784,,,,1.496761,-0.377813,0.587318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.373698,-0.397876,0.707318,,,,1.405437,-0.383874,0.651520,1.454062,-0.409691,0.733707,,,,1.452508,-0.370026,0.566520,1.475328,-0.398468,0.700408
9,0.090000,-0.026587,0.970838,0.110937,-0.210854,1.432015,-0.387942,0.648416,0.001939,1.373724,-0.398104,0.704894,0.598159,1.373067,-0.374423,0.595013,0.000000,1.406586,-0.389989,0.653093,0.000000,1.453587,-0.410980,0.734669,0.742186,1.485905,-0.371979,0.585106,0.000000,1.452465,-0.370094,0.567096,0.854051,1.478770,-0.400026,0.699037,0.003062,1.358831,-0.404621,0.591138,,,,1.498119,-0.377558,0.589400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.373316,-0.398444,0.706411,,,,1.405043,-0.386323,0.649620,1.453386,-0.410727,0.733690,,,,1.452995,-0.370072,0.566852,1.475041,-0.400166,0.700442
10,0.100000,-0.025753,0.971127,0.114517,-0.207689,1.431754,-0.388390,0.648380,0.001834,1.373093,-0.398704,0.704446,0.740925,1.373175,-0.374287,0.594724,0.000000,1.406291,-0.390370,0.652894,0.000000,1.452729,-0.412089,0.734603,0.749993,1.486078,-0.372212,0.585497,0.000000,1.452752,-0.370078,0.567304,0.882364,1.478163,-0.400993,0.699194,0.056241,1.358602,-0.405355,0.590494,,,,1.499404,-0.378000,0.591463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.372859,-0.398934,0.705429,,,,1.405426,-0.387272,0.648892,1.452495,-0.411835,0.733664,,,,1.453219,-0.370098,0.567249,1.474754,-0.401257,0.700793
11,0.110000,-0.025166,0.971549,0.116921,-0.204424,1.431389,-0.388810,0.648148,0.000789,1.372347,-0.399204,0.703799,0.740925,1.373188,-0.374295,0.594192,0.000000,1.405892,-0.390736,0.652494,0.000000,1.451754,-0.412956,0.734393,0.749993,1.486152,-0.372509,0.585680,0.000000,1.452947,-0.370195,0.567288,0.882364,1.477442,-0.401776,0.699194,0.056241,1.358556,-0.405892,0.589784,1.474138,-0.402547,0.701254,1.500919,-0.379329,0.592874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.372327,-0.399379,0.704489,,,,1.405726,-0.388491,0.648226,1.451441,-0.412748,0.733670,,,,1.453278,-0.370227,0.567317,,,
12,0.120000,-0.026862,0.972215,0.118134,-0.200302,1.431013,-0.389069,0.647961,0.001738,1.371514,-0.399741,0.703068,0.822008,1.373253,-0.374490,0.593549,0.000000,1.405483,-0.391053,0.652080,0.000000,1.450678,-0.413446,0.734302,0.796317,1.486283,-0.372476,0.586017,0.000000,1.453233,-0.370164,0.567347,0.916493,1.476648,-0.402111,0.699361,0.000000,1.358811,-0.406264,0.588829,,,,1.502448,-0.381135,0.593347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.371672,-0.399851,0.703457,,,,1.405962,-0.389318,0.647740,1.450380,-0.413309,0.733867,,,,1.453402,-0.370179,0.567372,1.473648,-0.403399,0.701476
13,0.130000,-0.032154,0.972827,0.120221,-0.195244,1.430725,-0.389214,0.647760,0.001593,1.370703,-0.400723,0.702126,0.971975,1.373459,-0.374764,0.592794,0.000000,1.405168,-0.391434,0.651579,0.000000,1.449623,-0.413978,0.734162,0.931081,1.486546,-0.371776,0.586546,0.000000,1.453689,-0.369616,0.567521,0.940397,1.475888,-0.402209,0.699587,0.000001,1.359235,-0.406667,0.587944,,,,1.504126,-0.382587,0.594720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.370815,-0.400725,0.702129,,,,1.406141,-0.389978,0.647059,1.449551,-0.413899,0.733908,,,,1.453677,-0.369671,0.567753,1.473126,-0.404422,0.701581
14,0.140000,-0.000661,0.982000,0.117980,-0.147503,1.432604,-0.390404,0.645457,0.002914,1.367335,-0.396549,0.694376,0.000000,1.381626,-0.372934,0.585412,0.000000,1.406716,-0.390714,0.647003,0.823785,1.441938,-0.414812,0.733508,0.000001,1.494737,-0.378175,0.589269,0.000000,1.463935,-0.374029,0.567355,0.000000,1.471943,-0.405614,0.701276,0.836566,1.359532,-0.407128,0.587075,,,,1.505523,-0.383569,0.596308,1.453900,-0.368591,0.568472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.370318,-0.400984,0.701439,,,,1.406170,-0.390596,0.646573,1.448473,-0.414853,0.733770,,,,,,,1.472424,-0.405731,0.701703
15,0.150000,-0.000604,0.982657,0.118214,-0.142863,1.432621,-0.391008,0.645381,0.002965,1.366892,-0.397083,0.693689,0.000000,1.382225,-0.373456,0.584870,0.000000,1.406719,-0.391285,0.646686,0.823785,1.441105,-0.415453,0.733507,0.000001,1.495289,-0.378842,0.589777,0.000000,1.464697,-0.374650,0.567578,0.000000,1.471420,-0.406284,0.701558,0.836566,1.359480,-0.407398,0.586524,,,,1.506811,-0.383896,0.598008,1.453728,-0.367001,0.569337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.369742,-0.401309,0.700730,,,,1.406135,-0.391157,0.646216,1.447630,-0.415495,0.733799,,,,,,,1.471938,-0.406412,0.702025
