Force Min (N),Force Max (N),Average Voltage (V),Sample Count,AvgForce
0.0,1.0,1.95874213836478,159,0.5
2.0,3.0,5.505882352941176,34,2.5
3.0,4.0,312.8305031446541,159,3.5
4.0,5.0,833.5869565217391,23,4.5
6.0,7.0,1987.3775362318845,69,6.5
7.0,8.0,2187.962142857143,14,7.5
8.0,9.0,2407.8890277777778,72,8.5
10.0,11.0,2763.8577777777778,27,10.5
11.0,12.0,2991.9322535211268,71,11.5
12.0,13.0,3102.3946875,64,12.5
15.0,16.0,3375.9149999999995,24,15.5
16.0,17.0,3359.347042253521,71,16.5
17.0,18.0,3480.8321428571435,14,17.5
18.0,19.0,3594.15126984127,63,18.5
20.0,21.0,3680.1435714285712,14,20.5
21.0,22.0,3635.572380952381,42,21.5
22.0,23.0,3669.174782608696,23,22.5
23.0,24.0,3743.331428571428,14,23.5
24.0,25.0,3970.723499999999,20,24.5
25.0,26.0,3944.119166666667,24,25.5
26.0,27.0,3994.549863013699,73,26.5
27.0,28.0,4048.59761904762,21,27.5
30.0,31.0,4129.568095238095,21,30.5
31.0,32.0,4198.521176470588,34,31.5
32.0,33.0,4211.46512195122,41,32.5
33.0,34.0,4329.539523809524,21,33.5
34.0,35.0,4274.920851063829,47,34.5
35.0,36.0,4043.173333333334,18,35.5
40.0,41.0,4407.869285714286,14,40.5
41.0,42.0,4431.374591836735,98,41.5
42.0,43.0,4419.425,14,42.5
54.0,55.0,4573.365789473683,19,54.5
55.0,56.0,4571.28423076923,26,55.5
56.0,57.0,4578.2005,20,56.5
57.0,58.0,4571.2675,16,57.5
59.0,60.0,4613.1775,16,59.5
72.0,73.0,4591.816428571428,14,72.5
73.0,74.0,4599.48393939394,33,73.5
74.0,75.0,4628.836666666666,30,74.5
