Force Min (N),Force Max (N),Average Voltage (V),Sample Count,AvgForce
0.0,1.0,86.94164705882353,85,0.5
1.0,2.0,891.2242857142858,182,1.5
2.0,3.0,1692.8629347826088,92,2.5
3.0,4.0,2550.813313609468,169,3.5
4.0,5.0,2866.7747727272726,88,4.5
5.0,6.0,3054.4632,125,5.5
6.0,7.0,3149.0954918032794,122,6.5
7.0,8.0,3259.0177868852456,122,7.5
8.0,9.0,3343.6064,50,8.5
9.0,10.0,3429.032,45,9.5
10.0,11.0,3485.710645161291,93,10.5
11.0,12.0,3554.469782608696,92,11.5
12.0,13.0,3599.961818181818,44,12.5
13.0,14.0,3607.060952380953,21,13.5
14.0,15.0,3637.603023255815,43,14.5
15.0,16.0,3633.5561702127657,47,15.5
17.0,18.0,3702.46,13,17.5
21.0,22.0,3785.8542857142857,21,21.5
22.0,23.0,3792.778888888888,36,22.5
28.0,29.0,3866.0099999999993,14,28.5
29.0,30.0,3874.792173913043,23,29.5
31.0,32.0,3893.25,17,31.5
32.0,33.0,3901.453125,16,32.5
33.0,34.0,3903.550833333333,24,33.5
34.0,35.0,3915.0775,20,34.5
