Force Min (N),Force Max (N),Average Voltage (V),Sample Count,AvgForce
0.0,1.0,284.87836477987423,159,0.5
1.0,2.0,2020.8770535714289,112,1.5
2.0,3.0,2621.6628571428582,77,2.5
3.0,4.0,3021.191095890411,73,3.5
4.0,5.0,3112.4439759036145,83,4.5
5.0,6.0,3189.868823529412,17,5.5
6.0,7.0,3335.339523809524,105,6.5
7.0,8.0,3428.2363636363634,99,7.5
8.0,9.0,3436.3097777777784,45,8.5
9.0,10.0,3554.985,202,9.5
10.0,11.0,3565.6196551724133,58,10.5
11.0,12.0,3612.385980392157,102,11.5
12.0,13.0,3635.936,40,12.5
13.0,14.0,3654.896351351352,74,13.5
14.0,15.0,3676.808,20,14.5
15.0,16.0,3690.4450000000006,20,15.5
16.0,17.0,3704.210909090909,11,16.5
