Force Min (N),Force Max (N),Average Voltage (V),Sample Count,AvgForce
0.0,1.0,19.17708333333333,72,0.5
2.0,3.0,1135.98,14,2.5
3.0,4.0,1854.235294117647,17,3.5
4.0,5.0,3351.302196969697,132,4.5
7.0,8.0,3932.090555555555,18,7.5
8.0,9.0,3922.286744186045,86,8.5
10.0,11.0,4104.390833333334,12,10.5
11.0,12.0,4194.564615384616,26,11.5
12.0,13.0,4219.978181818181,66,12.5
14.0,15.0,4274.771818181819,11,14.5
15.0,16.0,3438.3407692307696,13,15.5
16.0,17.0,4381.67380952381,84,16.5
17.0,18.0,4376.018333333333,24,17.5
19.0,20.0,4402.556296296297,27,19.5
20.0,21.0,4470.990731707317,82,20.5
21.0,22.0,4493.774736842105,19,21.5
22.0,23.0,4497.104615384616,13,22.5
23.0,24.0,4529.336976744186,43,23.5
26.0,27.0,4459.122727272727,11,26.5
27.0,28.0,4508.797692307692,13,27.5
28.0,29.0,4568.915,22,28.5
31.0,32.0,4050.1403448275855,29,31.5
32.0,33.0,4111.592727272728,22,32.5
39.0,40.0,4577.346875,16,39.5
42.0,43.0,4581.309285714287,14,42.5
46.0,47.0,4609.195,12,46.5
47.0,48.0,4614.124374999999,16,47.5
