Force Min (N),Force Max (N),Average Voltage (V),Sample Count,AvgForce
0.0,1.0,0.2619718309859155,71,0.5
4.0,5.0,2184.138333333334,12,4.5
5.0,6.0,2333.94700729927,137,5.5
6.0,7.0,2893.292941176471,34,6.5
7.0,8.0,2902.268400000001,25,7.5
8.0,9.0,3031.8777777777777,18,8.5
9.0,10.0,3091.5557352941173,68,9.5
10.0,11.0,3434.2961904761905,21,10.5
12.0,13.0,3743.701538461538,13,12.5
13.0,14.0,3749.697894736842,76,13.5
15.0,16.0,3919.0663636363633,22,15.5
16.0,17.0,3748.009841269841,63,16.5
17.0,18.0,3738.441851851852,27,17.5
20.0,21.0,4013.889583333333,24,20.5
21.0,22.0,4285.46,41,21.5
23.0,24.0,4028.186578947369,76,23.5
24.0,25.0,4029.227999999999,25,24.5
28.0,29.0,3977.544571428572,35,28.5
29.0,30.0,3988.095833333333,48,29.5
30.0,31.0,3900.589696969697,33,30.5
31.0,32.0,3979.3720512820514,39,31.5
32.0,33.0,3971.75,45,32.5
34.0,35.0,3969.03,11,34.5
35.0,36.0,3965.0141666666673,12,35.5
40.0,41.0,4176.502195121951,41,40.5
41.0,42.0,4179.5654347826085,46,41.5
42.0,43.0,4113.658181818181,11,42.5
43.0,44.0,4167.677333333334,15,43.5
44.0,45.0,4132.003076923077,26,44.5
45.0,46.0,4139.343225806451,31,45.5
46.0,47.0,4123.637692307692,26,46.5
47.0,48.0,4162.128571428571,14,47.5
48.0,49.0,4186.925499999999,20,48.5
49.0,50.0,4209.650555555556,18,49.5
71.0,72.0,4222.557058823529,17,71.5
72.0,73.0,4241.523684210526,19,72.5
73.0,74.0,4227.03606060606,33,73.5
74.0,75.0,4266.239684210526,95,74.5
