time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,V_SidePalm[mV],V_ThumbPalm[mV],V_UpperPalm[mV],V_Middle[mV],V_Index[mV],V_Thumb[mV],CalF1,CalF2,CalF3,CalF4,CalF5,CalF6
2.0035434000892565,569995.7083886,0.2556235000001021,-0.1233099999999907,0.3491459999999921,0.0611086441996711,-0.0294781462434317,0.0834658733947754,0.0006408800000012,-0.0007313599999994,0.0012361200000011,0.1075629096083954,,0.0,0.0,0.0,0.0,0.0,0.0,8.90445656866156e-05,8.068543955107214e-05,2.2305454642175129e-07,2.2577638938033553e-07,7.662867898069619e-08,3.9893666214442404e-05
2.170539300073869,569995.8753845,0.2156235000001023,-0.0483099999999906,0.339145999999992,0.0980465366339281,-0.0339800369179172,0.1445880545934478,0.0006408800000012,-0.0007313599999994,0.0020361200000011,0.1779704239079321,,0.0,0.0,0.0,0.0,0.0,0.0,8.90445656866156e-05,8.068543955107214e-05,2.2305454642175129e-07,2.2577638938033553e-07,7.662867898069619e-08,3.9893666214442404e-05
2.1800970000913367,569995.8849422,0.1906235000001022,-0.0833099999999906,0.3791459999999921,0.120177728466554,-0.0457727209331354,0.2006608257981637,0.0006408800000012,-0.0007313599999994,0.0020361200000011,0.23833295074539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90445656866156e-05,8.068543955107214e-05,2.2305454642175129e-07,2.2577638938033553e-07,7.662867898069619e-08,3.9893666214442404e-05
2.18911650008522,569995.8939617,0.2356235000001023,-0.1083099999999906,0.3291459999999923,0.1477758740869579,-0.0607227092390246,0.2313761348179884,0.0006408800000012,-0.0003313599999994,0.0016361200000011,0.281175874041148,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90445656866156e-05,8.068543955107214e-05,2.2305454642175129e-07,2.2577638938033553e-07,7.662867898069619e-08,3.9893666214442404e-05
2.2614617000799626,569995.9663069,0.2106235000001022,-0.1983099999999906,0.3491459999999921,0.1628000530482773,-0.0936139449724577,0.2595298718134033,0.0006408800000012,-0.0011313599999994,0.0020361200000011,0.3203485325849173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90445656866156e-05,8.068543955107214e-05,2.2305454642175129e-07,2.2577638938033553e-07,7.662867898069619e-08,3.9893666214442404e-05
2.372318000067025,569996.0771632,0.1956235000001023,0.0116900000000093,0.3591459999999921,0.1706467351459133,-0.068440276252087,0.2833438268445356,0.0006408800000012,-0.0003313599999994,0.0020361200000011,0.3377693056515463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90445656866156e-05,8.068543955107214e-05,2.2305454642175129e-07,2.2577638938033553e-07,7.662867898069619e-08,3.9893666214442404e-05
2.482263900106773,569996.1871091,0.1506235000001021,-0.0633099999999906,0.339145999999992,0.1658600361442517,-0.067213846654905,0.2966837394305219,0.0006408800000012,-0.0007313599999994,0.0008361200000011,0.3464801495243261,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90445656866156e-05,8.068543955107214e-05,2.2305454642175129e-07,2.2577638938033553e-07,7.662867898069619e-08,3.9893666214442404e-05
2.593146700062789,569996.2979919,0.1456235000001022,-0.1083099999999906,0.3491459999999921,0.161022345998134,-0.0770381789746603,0.3092252217865999,0.0006408800000012,-0.0007313599999994,0.0016361200000011,0.3570480565966527,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90445656866156e-05,8.068543955107214e-05,2.2305454642175129e-07,2.2577638938033553e-07,7.662867898069619e-08,3.9893666214442404e-05
2.7039633000968024,569996.4088085,0.3606235000001023,-0.1383099999999907,0.3291459999999923,0.208738443703334,-0.0916856503945467,0.3139874277184578,0.0006408800000012,-0.0007313599999994,0.0008361200000011,0.3880284797965411,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90445656866156e-05,8.068543955107214e-05,2.2305454642175129e-07,2.2577638938033553e-07,7.662867898069619e-08,3.9893666214442404e-05
2.816415400011465,569996.5212606,0.1256235000001022,-0.1233099999999907,0.3491459999999921,0.1888692160210807,-0.0992456796097179,0.322392338394197,0.0006408800000012,-0.0007313599999994,0.0020361200000011,0.386598118899835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90445656866156e-05,8.068543955107214e-05,2.2305454642175129e-07,2.2577638938033553e-07,7.662867898069619e-08,3.9893666214442404e-05
2.92640500003472,569996.6312502,0.2806235000001023,-0.0833099999999906,0.339145999999992,0.2108037404034922,-0.0954361402858671,0.3263974222229914,0.0006408800000012,-0.0003313599999994,0.0012361200000011,0.400101925857125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90445656866156e-05,8.068543955107214e-05,2.2305454642175129e-07,2.2577638938033553e-07,7.662867898069619e-08,3.9893666214442404e-05
3.036465000011958,569996.7413102,0.3056235000001022,0.0066900000000093,0.5591459999999923,0.2334710888760907,-0.0710221487310498,0.3820376510256975,0.0078408800000012,-0.0007313599999994,0.0036361200000011,0.4533273229715979,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90445656866156e-05,8.068543955107214e-05,2.2305454642175129e-07,2.2577638938033553e-07,7.662867898069619e-08,3.9893666214442404e-05
3.147307000006549,569996.8521522,0.1406235000001021,-0.0383099999999906,0.3791459999999921,0.2112752020604503,-0.0632020732770629,0.3813463809598414,0.0018408800000012,-0.0007313599999994,0.0016361200000011,0.4405187570846125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90445656866156e-05,8.068543955107214e-05,2.2305454642175129e-07,2.2577638938033553e-07,7.662867898069619e-08,3.9893666214442404e-05
