time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,V_SidePalm[N],V_ThumbPalm[N],V_UpperPalm[N],V_Middle[N],V_Index[N],V_Thumb[N]
2.0110100000165403,532956.9259563,0.01959450000006191,-0.06200850000000424,-0.023181999999917657,0.004684206768054431,-0.014823579850264374,-0.00554182455772329,0.00012888000000868538,0.0003274399999978715,0.0026240400000007782,0.016504306469877366,,0.0,0.0,0.0,0.0,0.0,0.0
2.2119798000203446,532957.1269261,0.04459450000006182,-0.12200850000000418,-0.01318199999991787,0.01422505066158656,-0.04044690927419449,-0.007368263686832888,-0.0002711199999913122,0.0003274399999978715,0.0022240400000007737,0.04350397505881876,,0.0,0.0,0.0,0.0,0.0,0.0
2.221570400055498,532957.1365167,-0.02540549999993802,-0.04200850000000422,-0.033181999999917444,0.004751081250279769,-0.04082021881752276,-0.013539223820857284,0.000528880000008683,0.0003274399999978715,0.0022240400000007737,0.04326862164465687,,0.0,0.0,0.0,0.0,0.0,0.0
2.2306010000174865,532957.1455473,-0.04540549999993804,-0.07700850000000414,-0.023181999999917657,-0.0072392118092012014,-0.04947128884424967,-0.015844399122122738,0.000528880000008683,0.0007274399999978691,0.0022240400000007737,0.052448637647424017,,0.0,0.0,0.0,0.0,0.0,0.0
2.3392682999838144,532957.2542146,-0.020405499999938126,-0.11200850000000417,-0.023181999999917657,-0.010386708109336963,-0.06442126091549971,-0.01759850561593174,0.00012888000000868538,0.0007274399999978691,0.0022240400000007737,0.06758468734266244,,0.0,0.0,0.0,0.0,0.0,0.0
2.4433890000218526,532957.3583353,0.08459450000006186,-0.07700850000000414,0.016818000000082378,0.012319235796484907,-0.06743033134396528,-0.009370991336985745,0.00012888000000868538,-7.256000000212953e-05,0.0022240400000007737,0.0691840200798147,,0.0,0.0,0.0,0.0,0.0,0.0
2.554191500064917,532957.4691378,-0.09040549999993797,-0.07700850000000414,0.006818000000081703,-0.012237854339149427,-0.06972006175015284,-0.005500896014888917,0.000528880000008683,-7.256000000212953e-05,0.0022240400000007737,0.07099937990037648,,0.0,0.0,0.0,0.0,0.0,0.0
2.6650855999905616,532957.5800319,0.01959450000006191,-0.08700850000000415,-0.01318199999991787,-0.004628100089825921,-0.07385298779872712,-0.007337119407814932,0.00012888000000868538,0.0007274399999978691,0.0022240400000007737,0.07436071838306108,,0.0,0.0,0.0,0.0,0.0,0.0
2.7775041999993846,532957.6924505,-0.09040549999993797,-0.07700850000000414,-0.0031819999999180837,-0.025133807160881004,-0.07460733578463405,-0.006343808098392224,0.00012888000000868538,-7.256000000212953e-05,0.0022240400000007737,0.0789823190117302,,0.0,0.0,0.0,0.0,0.0,0.0
2.8883454999886453,532957.8032918,0.01959450000006191,0.007991499999995821,0.016818000000082378,-0.014441182234179924,-0.05486148742848527,-0.0008068105605673311,0.00012888000000868538,0.0003274399999978715,0.0026240400000007782,0.0567360686906247,,0.0,0.0,0.0,0.0,0.0,0.0
2.99190590006765,532957.9068522,-0.09040549999993797,-0.0020085000000041875,-0.01318199999991787,-0.03260100113274212,-0.04222659899430197,-0.0037651889895947803,0.00012888000000868538,0.0003274399999978715,0.003024040000000776,0.053479786701238846,,0.0,0.0,0.0,0.0,0.0,0.0
3.102572500007227,532958.0175188,-0.020405499999938126,-0.11200850000000417,0.006818000000081703,-0.029685578491392993,-0.05890846650700103,-0.0012352012127755153,0.00012888000000868538,0.0003274399999978715,0.0022240400000007737,0.0659770165937439,,0.0,0.0,0.0,0.0,0.0,0.0
3.2145324000157416,532958.1294787,-0.00040549999993810815,-0.07700850000000414,0.006818000000081703,-0.022685964220122756,-0.06323541026109882,0.0006899747103483586,0.00012888000000868538,0.0003274399999978715,0.003024040000000776,0.06718516315814893,,0.0,0.0,0.0,0.0,0.0,0.0
3.325868400046602,532958.2408147,0.01959450000006191,-0.08700850000000415,-0.01318199999991787,-0.012578513830674367,-0.06891853909072926,-0.0026262210498855672,0.00012888000000868538,0.0003274399999978715,0.003024040000000776,0.07010621283161504,,0.0,0.0,0.0,0.0,0.0,0.0
3.437696799985133,532958.3526431,-0.04540549999993804,-0.07700850000000414,-0.0031819999999180837,-0.020426042003805003,-0.0708525026848195,-0.002759084022621604,0.00012888000000868538,0.0003274399999978715,0.003024040000000776,0.07378965288770131,,0.0,0.0,0.0,0.0,0.0,0.0
3.548359000007622,532958.4633053,-0.00040549999993810815,-0.1270085000000042,-0.01318199999991787,-0.015639986817179416,-0.08427699949207682,-0.005250757378081533,0.00012888000000868538,0.0003274399999978715,0.003024040000000776,0.0858766108091868,,0.0,0.0,0.0,0.0,0.0,0.0
3.65939599997364,532958.5743423,0.01959450000006191,-0.04200850000000422,-0.01318199999991787,-0.00721692822330231,-0.07417240935731216,-0.007146778219040483,0.00012888000000868538,0.0003274399999978715,0.0014240400000007786,0.07486458977220897,,0.0,0.0,0.0,0.0,0.0,0.0
3.7617132000159472,532958.6766595,-0.02540549999993802,-0.08700850000000415,0.026818000000082165,-0.011565037693668566,-0.07724096954836925,0.0009727473625757528,0.00012888000000868538,-7.256000000212953e-05,0.0018240400000007762,0.07810802590681369,,0.0,0.0,0.0,0.0,0.0,0.0
3.872739000013098,532958.7876853,-0.04540549999993804,-0.07700850000000414,0.006818000000081703,-0.01965484465830749,-0.07718539602356306,0.002370097229400978,0.00012888000000868538,0.0007274399999978691,0.0022240400000007737,0.07968384804170338,,0.0,0.0,0.0,0.0,0.0,0.0
3.986646500066854,532958.9015928,0.10959450000006221,-0.11200850000000417,0.026818000000082165,0.011243144829223312,-0.08551011057767738,0.008214544988864075,0.00012888000000868538,0.0003274399999978715,0.0014240400000007786,0.08663640150670834,,0.0,0.0,0.0,0.0,0.0,0.0
