time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,V_SidePalm[mV],V_ThumpPalm[mV],V_UpperPalm[mV],V_Middle[mV],V_Index[mV],V_Thump[mV]
2.0322128999999998,2.5866502,0.49239049999997353,-0.020631499999957503,0.1622100000000123,0.11770950586227226,-0.004932109108913755,0.03877747224189268,0.00047956000000014785,0.0010043999999987743,0.0037834800000005886,0.12403042297788593,,0.0,0.0,0.0,0.0,0.0,0.0
2.1558779,2.7103152,0.5123904999999735,-0.005631499999957601,0.15221000000001228,0.21206084853273743,-0.005099303553545302,0.06589433739489108,0.000879560000000148,0.0006043999999987741,0.00298348000000059,0.22212129586752266,1.0,0.0,0.49,0.0,0.0,0.0,0.0
2.1656607,2.720098,0.4673904999999734,-0.005631499999957601,0.1622100000000123,0.27309924611797953,-0.0052265289584401,0.08891929228749515,0.00047956000000014785,0.00020439999999877397,0.00298348000000059,0.28725799445110517,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1746835,2.7291208,0.5123904999999735,-0.055631499999957645,0.1622100000000123,0.3303035489053293,-0.017276201391802425,0.10643996538971195,0.00047956000000014785,0.0006043999999987741,0.00298348000000059,0.34745987939062617,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2569788,2.8114161,0.4723904999999735,-0.08063149999995756,0.1722100000000123,0.36427046094532256,-0.03242174317809409,0.12216276726042923,0.00047956000000014785,0.0006043999999987741,0.0037834800000005886,0.385574739645571,1.0,0.0,0.98,0.0,0.0,0.49,0.0
2.3678418,2.9222791,0.38239049999997343,-0.005631499999957601,0.1622100000000123,0.3686021871734446,-0.0260173420240736,0.131736347532445,7.956000000014767e-05,0.00020439999999877397,0.00298348000000059,0.3922995535763887,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4786869,3.0331242,0.42739049999997336,0.04436850000004244,0.1822100000000123,0.38265595801851116,-0.009191098048287915,0.1438024387568324,0.00047956000000014785,0.0006043999999987741,0.00418348000000059,0.4088877595169735,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5894843,3.1439216,0.42739049999997336,-0.030631499999957512,0.13221000000001232,0.3933500734240953,-0.01431658101195123,0.14103118253275004,0.00047956000000014785,0.0010043999999987743,0.0033834800000005875,0.4181136678000359,1.0,0.0,0.49,0.0,0.0,0.0,0.0
2.7003191,3.2547564,0.4523904999999733,-0.020631499999957503,0.14221000000001233,0.40746411388211534,-0.015826208012550427,0.14131298736361755,7.956000000014767e-05,0.0010043999999987743,0.002183480000000588,0.43156324375394145,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8121313,3.3665686,0.4673904999999734,-0.1306314999999576,0.1622100000000123,0.4217899493684726,-0.043271242370874374,0.14630856918623153,0.00047956000000014785,0.0006043999999987741,0.00298348000000059,0.44853690954245884,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9219842,3.4764215,0.49239049999997353,-0.01563149999995761,0.1722100000000123,0.438667520987825,-0.03666376229836831,0.1525004933241183,7.956000000014767e-05,0.0006043999999987741,0.0037834800000005886,0.465864600393263,1.0,0.0,0.0,0.0,0.0,0.0,0.0
