time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,V_SidePalm[mV],V_ThumpPalm[mV],V_UpperPalm[mV],V_Middle[mV],V_Index[mV],V_Thump[mV],CalF1,CalF2,CalF3,CalF4,CalF5,CalF6
2.0395416,2.604256,0.1123904999999734,0.0093685000000423,-0.0177899999999877,0.0268677608902107,0.0022396075994068,-0.0042528280080312,0.0004795600000001,-0.0009956000000012,0.0001834800000005,0.0272943027666718,,0.0,0.0,5000.0,0.0,0.0,2.44,0.0,0.0,,0.0,0.0,0.028392499515678536
2.1659159,2.7306303,0.0723904999999733,0.0093685000000423,-0.0077899999999876,0.0377503005129442,0.003943820824122,-0.0050984145238618,0.0004795600000001,-0.0013956000000012,0.0009834800000005,0.0382966413953952,,0.0,0.0,5000.0,0.0,0.0,0.98,0.0,0.0,,0.0,0.0,0.016149049564667978
2.1749233,2.7396377,0.0073904999999734,0.0243685000000424,0.0022100000000123,0.0304925708929391,0.0088264879210566,-0.0033512852387884,0.0004795600000001,-0.0013956000000012,0.0005834800000005,0.0319207594119124,,0.0,0.49,4624.63,0.0,0.0,1.96,0.0,0.011651945950198108,43.85905912803222,0.0,0.0,0.02479406010346623
2.2290338,2.7937482,0.0723904999999733,0.1343685000000423,-0.0177899999999877,0.0405085735003041,0.0388382127751584,-0.0068029643021073,0.0004795600000001,-0.0009956000000012,0.0005834800000005,0.0565299179363792,,0.0,0.49,5000.0,0.0,0.0,2.44,0.0,0.011651945950198108,,0.0,0.0,0.028392499515678536
2.3394445,2.9041589,0.0273904999999734,-0.0156314999999576,-0.0077899999999876,0.0373726032701941,0.0258168344682675,-0.0070389223156472,0.0004795600000001,-0.0013956000000012,0.0005834800000005,0.0459648435711356,,0.0,0.0,5000.0,0.0,0.0,1.47,0.0,0.0,,0.0,0.0,0.020752087517594397
2.4500008,3.0147152,0.0473904999999734,0.0743685000000424,0.0022100000000123,0.0397674538488337,0.0374234608319684,-0.0048279006254747,0.0008795600000001,-0.0013956000000012,0.0009834800000005,0.0548203833506339,,0.0,0.49,2017.6,0.0,0.0,0.98,0.0,0.011651945950198108,2.482867107489672,0.0,0.0,0.016149049564667978
2.5611264,3.1258408,0.0673904999999734,-0.0406314999999575,-0.0077899999999876,0.0463709425693951,0.0187638586064471,-0.0055360118780047,0.0008795600000001,-0.0013956000000012,0.0009834800000005,0.0503288598330053,,0.0,0.98,3180.35,0.0,0.0,0.0,0.0,0.01848689997937752,4.840529364673273,0.0,0.0,0.0
2.6716304,3.2363448,0.0923904999999734,-0.0256314999999576,-0.0477899999999876,0.0573722502005418,0.0081508274367991,-0.015637132964925,0.0008795600000001,-0.0013956000000012,0.0001834800000005,0.060021088030298,,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2.7824751,3.3471895,0.0723904999999733,-0.0656314999999576,-0.0077899999999876,0.0609624713010856,-0.0094873709117666,-0.0137612191450231,0.0004795600000001,-0.0013956000000012,-0.0006165199999994,0.0632123743131871,,0.0,0.0,5000.0,0.49,0.0,0.0,0.0,0.0,,0.0035482837879861114,0.0,0.0
2.8936353,3.4583497,0.0923904999999734,0.0243685000000424,0.0222100000000122,0.0684755685853988,-0.0013938804086676,-0.0051620393663193,0.0008795600000001,-0.0013956000000012,0.0005834800000005,0.0686840086636384,,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
