filename,tester,material_trial,segment_index,rising_time,rising_slope,intercept,rising_slope_simple,peak_force,r_squared,n_points
AoFoam1.csv,Ao,Foam1,0,1.3720165999839082,38.53066189736161,13.318769940239203,36.849061631563096,53.525508753043496,0.7333958439741227,151
AoFoam1.csv,Ao,Foam1,1,2.4175915000378154,19.362328360483954,18.303000229800855,21.835227028856416,55.92908115129381,0.6276441347793033,266
AoFoam1.csv,Ao,Foam1,2,3.6799396999995224,9.433263833153491,27.256999464051592,14.224257174646056,55.56344960955182,0.5468471004746189,404
AoFoam1.csv,Ao,Foam1,3,0.8269313999917358,66.5875644519754,3.2507967464718206,54.24688224174821,49.43343632592421,0.9327921520760094,92
AoFoam1.csv,Ao,Foam1,4,2.7297700999770385,13.161493144713793,25.72192000688424,18.13015314940714,53.364921632338735,0.5677064366409273,299
AoFoam2.csv,Ao,Foam2,0,4.0721231999923475,7.27263152436299,34.75925191946138,14.176170670444588,62.54861992122154,0.4624756903828112,448
AoFoam2.csv,Ao,Foam2,1,4.197814099956304,7.837835723569932,30.95975609978041,12.35546197458703,58.74048957633615,0.6246700826618585,461
AoFoam2.csv,Ao,Foam2,2,4.028543299995363,10.527837726954306,25.860457489845558,14.77177536607752,60.26202852099776,0.6264604730102212,442
AoFoam2.csv,Ao,Foam2,3,3.4929984000045806,8.891860980494007,39.517794815438435,15.355706503153337,63.409950438444994,0.433799458633242,383
AoFoam2.csv,Ao,Foam2,4,3.649240699945949,7.216625308162021,35.01577277005799,14.885620489254254,59.66305315847753,0.34738641737756615,400
AoPillow1.csv,Ao,Pillow1,0,2.6010021999827604,21.415296908288386,5.995364862996258,18.381632042780318,51.40731616473523,0.8501711726957777,286
AoPillow1.csv,Ao,Pillow1,1,2.414001500001179,18.288737862609533,10.720454776194071,19.49339522007253,49.51710686473743,0.788902925276473,265
AoPillow1.csv,Ao,Pillow1,2,3.426334500021767,9.379890180410607,22.37444301862437,12.715828919987919,46.097497055731566,0.5456664177793866,376
AoPillow1.csv,Ao,Pillow1,3,2.4868723000399697,14.68206338163811,17.58073353339795,17.719516379058103,45.97891514730368,0.6262637860644431,274
AoPillow1.csv,Ao,Pillow1,4,1.4850520000327379,38.389943724092824,7.3682337159912095,33.524469668133676,53.95586552091285,0.8875905934529834,163
AoPillow2.csv,Ao,Pillow2,0,3.3696735000121407,7.15770574103529,19.370380522319337,10.967827113372739,40.42693959389502,0.6119401729112068,371
AoPillow2.csv,Ao,Pillow2,1,3.09271340002306,9.180649264353388,15.535511070592875,12.941966155308862,42.23575081999169,0.7086030429681,339
AoPillow2.csv,Ao,Pillow2,2,2.5020506999571808,10.991195807659375,10.02482207764872,12.474437245121289,33.14394523293022,0.7860607486729493,276
AoPillow2.csv,Ao,Pillow2,3,3.246246399998199,9.20881896636802,17.760420927860643,13.239936645301704,46.32551062115124,0.6872589446984845,357
AoPillow2.csv,Ao,Pillow2,4,1.0166550999856554,41.485045866082764,2.257679284146537,34.63592622551814,38.84849209142288,0.9693214330608523,112
AoWood1.csv,Ao,Wood1,0,4.944067399948835,3.137400988090087,17.37024214087903,5.25999310157682,33.287346577540035,0.44891486515383777,542
AoWood1.csv,Ao,Wood1,1,4.722459900018293,2.582766115378586,24.10486204513046,6.071217277385764,34.723597787768945,0.3368136785239708,519
AoWood1.csv,Ao,Wood1,2,3.198450799973216,9.317352220340444,15.579142338351405,12.651225978264733,43.078529067422906,0.6864554661214165,351
AoWood1.csv,Ao,Wood1,3,3.9768405000213534,6.562734396980616,15.496421784154661,9.858970768611679,42.4808011526947,0.5555167311007417,437
AoWood1.csv,Ao,Wood1,4,2.917694900010254,8.395976930232084,11.493122230892281,10.66372019998071,37.443391617763496,0.8771767047164115,321
AoWood2.csv,Ao,Wood2,0,1.845999099954497,16.413742537499346,15.745014127555162,20.84881995431371,41.28991153103036,0.6679356577101616,203
AoWood2.csv,Ao,Wood2,1,3.6091576000326313,5.94957851624563,19.92174105113089,8.835002502130182,36.73344514056427,0.5795473332538118,396
AoWood2.csv,Ao,Wood2,2,0.910890900006045,52.68971890818778,4.466364518808415,43.76290784956426,43.8800001306801,0.9044784062085216,101
AoWood2.csv,Ao,Wood2,3,2.3503105000127036,10.253235127007414,20.81472860641758,16.039295067108675,41.81258203163512,0.628389186188494,258
AoWood2.csv,Ao,Wood2,4,0.6610584000009112,50.19283631696488,9.13840847950732,43.33940661246868,36.73082489513616,0.9090057429905275,73
BenFoam1.csv,Ben,Foam1,0,4.072552700003143,23.310287847308523,30.501115931592672,23.89980962984199,106.56445680802268,0.7596240245508566,447
BenFoam1.csv,Ben,Foam1,1,3.735445800004527,24.608747506828706,29.29880715201017,25.915166433386513,100.7909024180988,0.7602525293509914,408
BenFoam1.csv,Ben,Foam1,2,3.2780876999604445,7.349759251648013,71.73708320622774,11.412185119587544,92.64895080193688,0.6053955216215519,360
BenFoam1.csv,Ben,Foam1,3,3.329079099989034,3.24283529902208,66.76694229207439,5.03802395528069,77.12007083811748,0.4037211274405768,366
BenFoam1.csv,Ben,Foam1,4,3.348930800042581,21.43304846941996,28.21073089187216,22.14763181981414,82.26773660561203,0.7229882535416405,367
BenFoam2.csv,Ben,Foam2,0,2.1141998000093754,30.210270394251566,63.7392626900895,46.37163088099104,113.33610396833066,0.5273509543342687,232
BenFoam2.csv,Ben,Foam2,1,3.678361300029792,5.394240473170475,88.99608302726996,9.248547942439398,107.0030907231379,0.5893042467501611,404
BenFoam2.csv,Ben,Foam2,2,4.652992299990721,13.10514004425732,33.681000655751305,19.188535273487858,92.28743105169184,0.5511315818186799,511
BenFoam2.csv,Ben,Foam2,3,2.401729899982456,47.98216952853806,17.50620333585956,43.640358226724295,108.33111865722148,0.87903314429353,264
BenFoam2.csv,Ben,Foam2,4,5.023109200003091,12.110075877750345,34.33278808136188,16.715749095221376,86.78743753632213,0.6439570034375256,550
BenPillow1.csv,Ben,Pillow1,0,1.7368852999643423,46.359694110749835,-8.46522063518854,37.13230111735153,67.46118405394027,0.9569848176325718,191
BenPillow1.csv,Ben,Pillow1,1,2.4552261999924667,28.0583066633744,10.50650372041546,26.510541667016955,69.04240901666624,0.878780881019041,270
BenPillow1.csv,Ben,Pillow1,2,3.4358947000000626,26.074806677363018,23.07744933483032,28.952220247591423,104.21035537612072,0.8163267512809772,378
BenPillow1.csv,Ben,Pillow1,3,1.3480649000266567,61.660243527188165,-1.881334607182481,51.17709520097082,71.9975665239844,0.9770447021597862,149
BenPillow1.csv,Ben,Pillow1,4,4.097648599999957,10.156945426751944,29.49898024695033,14.397158198824975,63.60283000918137,0.5319160248425757,450
BenPillow2.csv,Ben,Pillow2,0,1.277797999966424,62.270512826882786,1.6060051786209186,54.32982731653215,72.55605649908962,0.9834598672583305,141
BenPillow2.csv,Ben,Pillow2,1,3.5813080999650992,9.958172523344706,21.79370236947104,13.47452471365566,50.67197319069214,0.5724339058666172,393
BenPillow2.csv,Ben,Pillow2,2,3.7994284000014886,12.984310469836906,50.56150414740094,23.064949417718164,96.00919754609714,0.5457351068191458,417
BenPillow2.csv,Ben,Pillow2,3,3.7706154999905266,24.38027642120172,17.163204353349727,25.396521779985058,100.4285104036904,0.9020624546688006,414
BenPillow2.csv,Ben,Pillow2,4,4.433542000013404,14.937759085413193,27.82899830975439,16.933757331140157,81.41880769929749,0.734702432542558,486
BenWood1.csv,Ben,Wood1,0,2.1688712000031956,63.16250832121387,-16.527161236790633,52.23500665639108,115.3503617961735,0.9382907952982028,238
BenWood1.csv,Ben,Wood1,1,3.742583399987783,18.680271318638592,26.566344673577646,25.338926798322266,101.88490908286232,0.6096924458503239,410
BenWood1.csv,Ben,Wood1,2,1.4687121000024526,74.22365791006908,-7.98607655162175,64.23044613694874,99.72241585000592,0.9730425170583338,162
BenWood1.csv,Ben,Wood1,3,0.5678910000133364,9.369845442012396,100.1185103233002,17.82262054805537,108.59513156663148,0.2868016597723682,63
BenWood1.csv,Ben,Wood1,4,2.8869575999560695,48.12526675526227,-5.325841990043386,41.14809299460657,121.60398705135628,0.9752217790842171,318
BenWood2.csv,Ben,Wood2,0,2.977809800009709,30.555770804719874,39.14398703494656,37.382971205716856,115.90175220736133,0.617139743466112,327
BenWood2.csv,Ben,Wood2,1,2.723614600021392,34.8021268147997,8.92117620227436,32.316653522411556,90.4221265618866,0.849762664565417,299
BenWood2.csv,Ben,Wood2,2,1.672868900001049,64.5908654649767,-15.304791822545901,50.4052679177901,85.94375102162702,0.9440148309363146,184
BenWood2.csv,Ben,Wood2,3,2.1935771999997087,45.37358687444402,1.2038547649348388,46.265434824207176,103.81150619927766,0.9786417472186173,240
BenWood2.csv,Ben,Wood2,4,2.1592844999977387,41.83007027848163,-0.7448560958462025,35.80008795331774,80.40422019901303,0.9404514291260453,238
DaichiFoam1.csv,Daichi,Foam1,0,2.537110799981747,33.7145883664543,20.084630081059906,30.62156547421067,85.4110902508645,0.766509472599686,279
DaichiFoam1.csv,Daichi,Foam1,1,3.005799799982926,20.953639177839896,33.39570267104721,25.01831822716988,82.5192572718793,0.682185173374329,329
DaichiFoam1.csv,Daichi,Foam1,2,2.578473100031264,28.486753020589255,32.87820152913695,31.204977245483093,88.25100439465413,0.7250701280669573,283
DaichiFoam1.csv,Daichi,Foam1,3,2.4272477000486106,30.150894738080265,33.304458363160855,33.04865653714035,90.38214068507445,0.7487993318162864,266
DaichiFoam1.csv,Daichi,Foam1,4,2.824782099982258,25.15398312992917,42.66628704482356,30.664175729239485,99.6354048717072,0.7737839774865397,310
DaichiFoam2.csv,Daichi,Foam2,0,2.5237810999969934,30.89220923004792,25.617015365711723,31.656319956924627,87.4738655262474,0.7932560152874165,278
DaichiFoam2.csv,Daichi,Foam2,1,2.1348289999878034,42.50450962094661,13.605390392725226,40.263840291053285,89.20238968345221,0.8982326566464156,235
DaichiFoam2.csv,Daichi,Foam2,2,3.1681512999930384,26.69077400177015,30.95726207315633,29.34160712469715,96.99138401395766,0.7626284902191232,348
