time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,Volt_FSR1,Volt_FSR2,CalF1,CalF2
2.033649,2.598343,0.0560769999999257,-0.0495285000000018,-0.0097400000001754,0.0134056119283988,-0.0118401456996024,-0.00232841735801,0.000528280000001,0.000900959999999,0.0030819999999979,0.0180366573609337,,0.0,0.0,0.0,0.0
2.1616823,2.7263763,0.1010769999999257,-0.0245285000000019,0.0202599999998245,0.0343640905508732,-0.0148733884508446,0.0030715069813133,0.000928280000001,0.000900959999999,0.0034819999999979,0.037570501174919,,0.0,0.49,0.0,0.0026926604633974944
2.1706873,2.7353813,0.0610769999999256,0.025471499999998,0.0202599999998245,0.0407500045183274,-0.0052286514309032,0.0071805404003703,0.000128280000001,0.000900959999999,0.0022819999999979,0.041706855844944,,0.49,0.49,0.0006216011309879753,0.0026926604633974944
2.1887487,2.7534427,0.1260769999999256,-0.0595285000000018,0.0102599999998245,0.0611480391572,-0.0182094224723127,0.0079167074624371,0.000128280000001,0.000900959999999,0.0010819999999979,0.064291057049884,,0.0,0.0,0.0,0.0
2.3015766,2.8662706,0.1010769999999257,0.0004714999999981,0.0102599999998245,0.0706933456779219,-0.0137436130115956,0.0084768884705326,0.000528280000001,0.000900959999999,0.0026819999999979,0.0725140928364446,,0.0,0.0,0.0,0.0
2.4056734000000004,2.9703674,0.1060769999999255,0.050471499999998,0.0102599999998245,0.0791520638413404,0.0016074736188025,0.0089031541621133,0.000128280000001,0.000900959999999,0.0018819999999979,0.0796674295795536,,0.0,0.0,0.0,0.0
2.5232408,3.0879348,0.1460769999999256,-0.0245285000000019,0.0202599999998245,0.0951509532697343,-0.004640519670871,0.0116180901970511,0.000128280000001,0.000900959999999,0.0026819999999979,0.0959698825193702,,0.0,0.0,0.0,0.0
2.6272561000000003,3.1919501,0.1010769999999257,-0.074528500000002,0.0202599999998245,0.0965676175480411,-0.0213477462121114,0.0136840011611961,0.000528280000001,0.000900959999999,0.0026819999999979,0.0998412886286083,,0.49,0.0,0.0006216011309879753,0.0
2.7382241,3.3029181,0.1660769999999256,-0.0095285000000018,0.0202599999998245,0.1131843375318821,-0.0185222700274734,0.0152560411860257,0.000128280000001,0.000900959999999,0.0030819999999979,0.1157001103809818,,0.0,0.0,0.0,0.0
2.8531877000000003,3.4178817,0.1010769999999257,0.0004714999999981,0.0102599999998245,0.1102899910361751,-0.0139816720988061,0.0140617014510078,0.000528280000001,0.000500959999999,0.0026819999999979,0.1120584701177711,,0.0,0.0,0.0,0.0
2.9581967,3.5228907,0.1010769999999257,-0.0245285000000019,0.0302599999998245,0.1080875589778991,-0.0165029674947657,0.017934021729305,0.000528280000001,0.000900959999999,0.0026819999999979,0.1108011618951774,,0.0,0.0,0.0,0.0
3.0731981,3.6378921,0.1010769999999257,-0.0495285000000018,0.0302599999998245,0.1064116342126658,-0.024397959603732,0.020880635872941,0.000528280000001,0.000900959999999,0.0022819999999979,0.1111516859210596,,0.49,0.0,0.0006216011309879753,0.0
3.1797151,3.7444091,0.0360769999999257,-0.0145285000000019,0.0002599999998245,0.0895976318340948,-0.0220385939923264,0.0159511239120268,0.000128280000001,0.000500959999999,0.0022819999999979,0.0936369243914677,,0.98,0.0,0.001073987153402649,0.0
3.2921165,3.8568105,0.0160769999999257,0.025471499999998,0.0202599999998245,0.0720219937097148,-0.0106809628290385,0.0169811918664582,0.000528280000001,0.000900959999999,0.0014819999999979,0.0747637039082666,,0.0,0.0,0.0,0.0
3.3960874,3.9607814,0.0160769999999257,-0.0245285000000019,0.0002599999998245,0.0586479388385352,-0.0139913166189748,0.0129838701633591,0.000128280000001,0.000900959999999,0.0026819999999979,0.0616759155194305,,0.0,0.0,0.0,0.0
3.513195,4.077889,0.1010769999999257,-0.074528500000002,0.0102599999998245,0.0687909124001853,-0.0284631676032542,0.0123327093245885,0.000128280000001,0.000500959999999,0.0018819999999979,0.0754614952021606,,0.98,0.49,0.001073987153402649,0.0026926604633974944
3.6181655,4.1828595,0.0610769999999256,-0.0245285000000019,0.0202599999998245,0.0669468459186031,-0.0275225568901898,0.0142277854241653,0.000528280000001,0.000900959999999,0.0026819999999979,0.073768565082283,,0.49,0.0,0.0006216011309879753,0.0
3.7331449,4.2978389,0.1010769999999257,0.050471499999998,0.0302599999998245,0.0751059057946891,-0.0088775141918874,0.0180604021289532,0.000128280000001,0.000900959999999,0.0010819999999979,0.0777552922219921,,1.47,0.0,0.0014788946765945162,0.0
3.8397057,4.4043997,0.1660769999999256,-0.0395285000000018,0.0002599999998245,0.0968532030042193,-0.0162048537601059,0.0138050874168099,0.000128280000001,0.000900959999999,0.0018819999999979,0.0991651181421608,,0.0,0.0,0.0,0.0
3.9556893,4.5203833,0.1660769999999256,-0.0395285000000018,-0.0097400000001754,0.1134016517218027,-0.0217805398746933,0.0081764641892344,0.000528280000001,0.000900959999999,0.0026819999999979,0.1157634704779707,,0.0,0.0,0.0,0.0
4.0607048,4.6253988,0.1460769999999256,-0.074528500000002,0.0002599999998245,0.1212129297616831,-0.0343903207733768,0.0062839762393006,0.000528280000001,0.000900959999999,0.0010819999999979,0.1261537033213158,,0.0,0.0,0.0,0.0
4.1756597,4.7403537,0.1260769999999256,0.0354714999999981,0.0002599999998245,0.1223757208882847,-0.0176893478629063,0.0048439012043947,0.000128280000001,0.000900959999999,0.0026819999999979,0.1237424481316747,,0.0,0.0,0.0,0.0
4.2812968,4.8459908,0.1210769999999257,-0.0595285000000018,0.0002599999998245,0.1220652522784684,-0.0276912994110256,0.0037480865091245,0.000528280000001,0.000500959999999,0.0034819999999979,0.1252229293274881,,0.0,0.0,0.0,0.0
4.388126199999999,4.9528202,0.1260769999999256,0.0354714999999981,0.0202599999998245,0.1230242895505864,-0.0125917759483474,0.0076953787047111,0.000528280000001,0.000900959999999,0.0018819999999979,0.1239062044224132,,0.0,0.0,0.0,0.0
4.5041367,5.0688307,0.0360769999999257,0.0104714999999981,-0.0097400000001754,0.1022389119101309,-0.0070783332327687,0.00352732547892,0.000528280000001,0.000900959999999,0.0026819999999979,0.1025443315593595,,0.49,0.0,0.0006216011309879753,0.0
4.6081033,5.1727973,0.1010769999999257,-0.0495285000000018,0.0302599999998245,0.101961148474797,-0.0172263522419542,0.0099179644295756,0.000128280000001,0.000900959999999,0.0030819999999979,0.1038806479970635,,0.0,0.49,0.0,0.0026926604633974944
4.7256636,5.2903576,0.1660769999999256,-0.0595285000000018,0.0302599999998245,0.1172885059298294,-0.0273389862377622,0.0147808749755891,0.000528280000001,0.000900959999999,0.0026819999999979,0.1213362602720397,,0.49,0.0,0.0006216011309879753,0.0
4.8297404,5.3944344,0.0810769999999256,-0.0345285000000019,0.0102599999998245,0.1086318838594646,-0.029057691436874,0.0137001271555918,0.000128280000001,0.000500959999999,0.0026819999999979,0.113282518980539,,0.0,0.0,0.0,0.0
