time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,V_SidePalm[mV],V_ThumpPalm[mV],V_UpperPalm[mV],V_Middle[mV],V_Index[mV],V_Thump[mV],CalF1,CalF2,CalF3,CalF4,CalF5,CalF6
2.0395081,2.5991681,0.3823904999999734,-0.0106314999999574,0.0622100000000123,0.0914132112650965,-0.0025415368728068,0.0148717498808238,0.0004795600000001,0.0002043999999987,0.0021834800000005,0.0926498977225058,,0.0,0.0,0.0,0.0,331.87,0.0,0.0,0.0,0.0,0.0,0.32010810651707916,0.0
2.1637434,2.7234034,0.4223904999999734,-0.0606314999999575,0.0522100000000123,0.1705357229882493,-0.0164283621776307,0.0237977282887984,0.0004795600000001,-0.0001956000000012,0.0021834800000005,0.1729701007997388,,0.0,0.49,0.0,0.0,134.9,0.0,0.0,0.011651945950198108,0.0,0.0,0.17994764802430557,0.0
2.17278,2.73244,0.3373904999999735,-0.0606314999999575,0.0522100000000123,0.2104235627268526,-0.0269954415803168,0.0305898870805537,0.0004795600000001,-0.0001956000000012,0.0021834800000005,0.2143421815891099,1.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.00754893254491928,0.0,0.0,0.0
2.1908511,2.7505111,0.3773904999999735,-0.0606314999999575,0.0522100000000123,0.2503382151861448,-0.035036384319323,0.035758331249229,0.0004795600000001,-0.0001956000000012,0.0021834800000005,0.25529478737821,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3015125,2.8611725,0.4423904999999735,-0.0706314999999575,0.0722100000000123,0.2962497011818278,-0.0435456538480367,0.0444723659767678,7.956000000014767e-05,-0.0005956000000012,0.0033834800000005,0.3027175263425408,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4123754,2.9720354,0.3773904999999735,-0.0606314999999575,0.0522100000000123,0.3156469952688471,-0.0476301487921543,0.0463221032836802,0.0004795600000001,-0.0001956000000012,0.0029834800000005,0.3225637827606167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5318933,3.0915533,0.3823904999999734,-0.0806314999999575,0.0722100000000123,0.331602512203917,-0.0555193601872929,0.0525107919978068,7.956000000014767e-05,0.0002043999999987,0.0029834800000005,0.3402940033732481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6419309,3.2015909,0.3373904999999735,-0.0806314999999575,0.0522100000000123,0.3329861724967348,-0.061522598609832,0.0524388854979297,7.956000000014767e-05,-0.0001956000000012,0.0021834800000005,0.3426582231991474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7518946,3.3115546,0.3573904999999735,-0.0706314999999575,0.0522100000000123,0.338820203273745,-0.0637001472862989,0.0523841687662728,0.0004795600000001,-0.0001956000000012,0.0017834800000005,0.3487132633670411,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8627164,3.4223764,0.3373904999999735,-0.0106314999999574,0.0622100000000123,0.33847842237853,-0.0510137038052512,0.0547331047006778,0.0004795600000001,-0.0001956000000012,0.0021834800000005,0.3466493230080853,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9727173,3.5323773,0.3573904999999735,-0.0206314999999575,0.0122100000000123,0.3429994911474221,-0.0437506185163836,0.0445676493516301,0.0004795600000001,-0.0001956000000012,0.0029834800000005,0.3486388430979636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0827349,3.6423949,0.3123904999999736,0.0043685000000424,0.0622100000000123,0.335682190706189,-0.0322473956412531,0.0487851807155985,0.0004795600000001,-0.0001956000000012,0.0025834800000005,0.3407380541418926,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1935681,3.7532281,0.2923904999999736,-0.0856314999999576,0.0322100000000122,0.3253329993205485,-0.0450092514141883,0.0448227640328851,0.0004795600000001,-0.0001956000000012,0.0029834800000005,0.331476203271543,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3044423,3.8641023,0.3573904999999735,-0.0006314999999577,0.0522100000000123,0.3329965764288696,-0.034400429371017,0.0465887361533435,0.0004795600000001,-0.0001956000000012,0.0025834800000005,0.3379949996532851,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4144255,3.9740855,0.3773904999999735,-0.0356314999999576,0.0522100000000123,0.3436092645429628,-0.0346947256976402,0.0479325398817113,0.0004795600000001,-0.0001956000000012,0.0033834800000005,0.3486668596963327,1.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.00754893254491928,0.0,0.0,0.0
3.5244159,4.0840759,0.4023904999999734,0.0043685000000424,0.0522100000000123,0.3576613434917219,-0.0253563794170745,0.0489550976216977,0.0004795600000001,-0.0001956000000012,0.0033834800000005,0.3618855954422559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6343975,4.1940575,0.2723904999999735,-0.0706314999999575,0.0422100000000122,0.337276732391643,-0.0361797240422576,0.0473426333112746,0.0004795600000001,-0.0001956000000012,0.0025834800000005,0.3424994767490947,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7448748,4.3045348,0.3573904999999735,-0.0006314999999577,0.0322100000000122,0.3420850738324411,-0.0276816642984147,0.0437250680059656,0.0004795600000001,-0.0001956000000012,0.0025834800000005,0.3459773892169878,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8556941,4.4153541,0.3773904999999735,-0.0606314999999575,0.0322100000000122,0.3505250909904435,-0.0355585605396538,0.0409723078187741,0.0004795600000001,-0.0001956000000012,0.0021834800000005,0.35469843620956,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9665101,4.5261701,0.3323904999999736,-0.0856314999999576,0.0722100000000123,0.3461898860169464,-0.0475288584250601,0.0484399037836262,0.0004795600000001,-0.0005956000000012,0.0021834800000005,0.3527787604748658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
