time,world_time,Penpos_x[mm],Penpos_y[mm],Penpos_z[mm],Pensaki_x[mm],Pensaki_y[mm],Pensaki_z[mm],Pensaki_relative_x[mm],Pensaki_relative_y[mm],Pensaki_relative_z[mm],velo_x[mm/s],velo_y[mm/s],velo_z[mm/s],velo_xyz[mm/s],Pen_qx,Pen_qy,Pen_qz,Pen_qw,Pen_yaw[rad],Pen_pitch[rad],Pen_roll[rad],Headpos_x[mm],Headpos_y[mm],Headpos_z[mm],Headori_0,Headori_1,Headori_2,Headori_3,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,Fcx,Fcy,Fcz,LPF_Fcx,LPF_Fcy,LPF_Fcz,egx,egy,egz,force_magnitude,touch_count
0.20014310000000002,0.8142547,256.09245896339417,209.77962017059326,204.30560410022736,401.8724118358807,213.46230956289332,138.46752762141023,401.8724118358807,213.46230956289332,138.46752762141023,40187.24118358807,21346.23095628933,13846.752762141023,47564.78205608623,-0.5272516012191772,-0.6540257930755615,-0.35100939869880676,-0.41358014941215515,1.6744170085579415,0.17168582917562575,2.001629299820608,0,0,0,0,0,0,0,-0.23234700000000247,-0.16452750000000382,0.5234849999999814,-0.05554422873427317,-0.03933148735760842,0.1251428707018367,-0.0005312800000015095,-0.00017304000000076085,0.0018756399999991166,-0.24910676063522785,-0.07670249471201589,0.5638519706410562,-0.07230398936949854,0.048493517930379516,0.16550984134291144,0.016759760635225374,-0.08782500528798794,0.04036697064107476,0.09965495191545996,
0.2091752,0.8232868,256.09245896339417,209.77962017059326,204.30560410022736,401.8724118358807,213.46230956289332,138.46752762141023,401.8724118358807,213.46230956289332,138.46752762141023,0.0,0.0,0.0,0.0,-0.5272516012191772,-0.6540257930755615,-0.35100939869880676,-0.41358014941215515,1.6744170085579415,0.17168582917562575,2.001629299820608,0,0,0,0,0,0,0,-0.2523470000000025,-0.17952750000000373,0.5034849999999814,-0.10259135283194776,-0.07284635690118839,0.21558828970680718,-0.00013128000000150845,-0.00017304000000076085,0.001475639999999119,-0.26910676063522787,-0.09170249471201579,0.5438519706410562,-0.11935111346717313,0.014978648386799548,0.25595526034788196,0.016759760635225374,-0.08782500528798794,0.04036697064107476,0.12121636894761689,
0.21826370000000006,0.8323753,256.09245896339417,209.77962017059326,204.30560410022736,401.8724118358807,213.46230956289332,138.46752762141023,401.8724118358807,213.46230956289332,138.46752762141023,0.0,0.0,0.0,0.0,-0.5272516012191772,-0.6540257930755615,-0.35100939869880676,-0.41358014941215515,1.6744170085579415,0.17168582917562575,2.001629299820608,0,0,0,0,0,0,0,-0.3173470000000025,-0.1395275000000037,0.5234849999999814,-0.15393024159865948,-0.08878696583757817,0.2891932224283578,-0.0005312800000015095,0.00022695999999923847,0.001475639999999119,-0.3341067606352279,-0.051702494712015754,0.5638519706410562,-0.17069000223388486,-0.0009619605495902323,0.32956019306943257,0.016759760635225374,-0.08782500528798794,0.04036697064107476,0.17069542348522868,
0.22750950000000003,0.8416211,256.09245896339417,209.77962017059326,204.30560410022736,401.8724118358807,213.46230956289332,138.46752762141023,401.8724118358807,213.46230956289332,138.46752762141023,0.0,0.0,0.0,0.0,-0.5272516012191772,-0.6540257930755615,-0.35100939869880676,-0.41358014941215515,1.6744170085579415,0.17168582917562575,2.001629299820608,0,0,0,0,0,0,0,-0.29234700000000247,-0.15452750000000381,0.5034849999999814,-0.18701976756327593,-0.10450271541313125,0.3404212198172293,-0.0005312800000015095,0.00022695999999923847,0.001475639999999119,-0.30910676063522785,-0.06670249471201588,0.5438519706410562,-0.20377952819850131,-0.01667771012514331,0.38078819045830403,0.016759760635225374,-0.08782500528798794,0.04036697064107476,0.2051399233275678,1.0
0.2366334,0.850745,256.09245896339417,209.77962017059326,204.30560410022736,401.8724118358807,213.46230956289332,138.46752762141023,401.8724118358807,213.46230956289332,138.46752762141023,0.0,0.0,0.0,0.0,-0.5272516012191772,-0.6540257930755615,-0.35100939869880676,-0.41358014941215515,1.6744170085579415,0.17168582917562575,2.001629299820608,0,0,0,0,0,0,0,-0.2073470000000025,-0.17952750000000373,0.5134849999999814,-0.1918791393132889,-0.12243793211845894,0.38179336661528845,-0.0005312800000015095,0.00022695999999923847,0.001475639999999119,-0.2241067606352279,-0.09170249471201579,0.5538519706410562,-0.20863889994851428,-0.034612926830471,0.4221603372563632,0.016759760635225374,-0.08782500528798794,0.04036697064107476,0.21430422296181947,1.0
0.24572590000000005,0.8598375,256.09245896339417,209.77962017059326,204.30560410022736,401.8724118358807,213.46230956289332,138.46752762141023,401.8724118358807,213.46230956289332,138.46752762141023,0.0,0.0,0.0,0.0,-0.5272516012191772,-0.6540257930755615,-0.35100939869880676,-0.41358014941215515,1.6744170085579415,0.17168582917562575,2.001629299820608,0,0,0,0,0,0,0,-0.2723470000000025,-0.08952750000000365,0.5134849999999814,-0.2111155626789463,-0.11457045558839299,0.4132752028649898,-0.0009312800000015088,-0.00017304000000076085,0.0018756399999991166,-0.2891067606352279,-0.0017024947120157091,0.5538519706410562,-0.22787532331417168,-0.026745450300405052,0.45364217350606456,0.016759760635225374,-0.08782500528798794,0.04036697064107476,0.2309930760847198,1.0
0.25492159999999997,0.8690332,256.09245896339417,209.77962017059326,204.30560410022736,401.8724118358807,213.46230956289332,138.46752762141023,401.8724118358807,213.46230956289332,138.46752762141023,0.0,0.0,0.0,0.0,-0.5272516012191772,-0.6540257930755615,-0.35100939869880676,-0.41358014941215515,1.6744170085579415,0.17168582917562575,2.001629299820608,0,0,0,0,0,0,0,-0.29234700000000247,-0.22452750000000365,0.5034849999999814,-0.23053452455482362,-0.1408564813418698,0.43484050651056433,-0.0005312800000015095,-0.00017304000000076085,0.00027563999999911937,-0.30910676063522785,-0.13670249471201573,0.5438519706410562,-0.247294285190049,-0.05303147605388185,0.4752074771516391,0.016759760635225374,-0.08782500528798794,0.04036697064107476,0.25841659852370974,1.0
0.2640407,0.8781523,256.09245896339417,209.77962017059326,204.30560410022736,401.8724118358807,213.46230956289332,138.46752762141023,401.8724118358807,213.46230956289332,138.46752762141023,0.0,0.0,0.0,0.0,-0.5272516012191772,-0.6540257930755615,-0.35100939869880676,-0.41358014941215515,1.6744170085579415,0.17168582917562575,2.001629299820608,0,0,0,0,0,0,0,-0.3123470000000025,-0.16452750000000382,0.5334849999999814,-0.2500923877914657,-0.1465152093423201,0.458422185248627,-0.0005312800000015095,0.00022695999999923847,0.0018756399999991166,-0.32910676063522787,-0.07670249471201589,0.5738519706410562,-0.2668521484266911,-0.05869020405433216,0.49878915588970174,0.016759760635225374,-0.08782500528798794,0.04036697064107476,0.2794622500872328,1.0
0.2732496,0.8873612,256.09245896339417,209.77962017059326,204.30560410022736,401.8724118358807,213.46230956289332,138.46752762141023,401.8724118358807,213.46230956289332,138.46752762141023,0.0,0.0,0.0,0.0,-0.5272516012191772,-0.6540257930755615,-0.35100939869880676,-0.41358014941215515,1.6744170085579415,0.17168582917562575,2.001629299820608,0,0,0,0,0,0,0,-0.22734700000000246,-0.11452750000000378,0.49348499999998147,-0.24465493853609005,-0.13886831635728028,0.46680420439506165,-0.0009312800000015088,0.00022695999999923847,0.000675639999999117,-0.24410676063522785,-0.026702494712015842,0.5338519706410563,-0.26141469917131543,-0.051043311069292344,0.5071711750361364,0.016759760635225374,-0.08782500528798794,0.04036697064107476,0.27119823773885854,1.0
0.2824892,0.8966008,256.09245896339417,209.77962017059326,204.30560410022736,401.8724118358807,213.46230956289332,138.46752762141023,401.8724118358807,213.46230956289332,138.46752762141023,0.0,0.0,0.0,0.0,-0.5272516012191772,-0.6540257930755615,-0.35100939869880676,-0.41358014941215515,1.6744170085579415,0.17168582917562575,2.001629299820608,0,0,0,0,0,0,0,-0.2723470000000025,-0.11452750000000378,0.5134849999999814,-0.2512749258657095,-0.13304946837849213,0.4779635857883118,-0.0005312800000015095,0.00022695999999923847,0.00027563999999911937,-0.2891067606352279,-0.026702494712015842,0.5538519706410562,-0.26803468650093487,-0.045224463090504194,0.5183305564293865,0.016759760635225374,-0.08782500528798794,0.04036697064107476,0.27555960751043174,1.0
