time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,Volt_FSR1,Volt_FSR2,Ohm_FSR1,Ohm_FSR2
2.0324217,2.61678,0.4285260000000006,-0.4065690000000337,-0.0565789999999449,0.1024422358049939,-0.0971932563461819,-0.0135256186546559,-0.0004048799999995,-0.00121736,0.0066490800000007,0.1418586730372584,,134.41,69.4,361996.1312402351,710461.0951008645
2.1512747,2.735633,0.3585260000000003,-0.4165690000000339,-0.0665789999999449,0.1636609094852263,-0.1735423349126706,-0.0262084127022198,-4.879999999594584e-06,-0.00121736,0.0082490800000007,0.2399764909253464,1.0,142.23,69.89,341543.27497714973,705409.9298898268
2.1602816,2.7446399,0.4035260000000007,-0.4165690000000339,-0.076578999999945,0.2210023920648147,-0.2316396147318203,-0.0382498654532538,-4.879999999594584e-06,-0.00121736,0.0074490800000007,0.3224314200239614,1.0,205.77,68.91,232989.74583272586,715584.0951966333
2.2697251,2.8540834,0.3585260000000003,-0.3965690000000339,-0.076578999999945,0.253878403958725,-0.271067175665857,-0.0474127219413863,0.0003951200000004,-0.00161736,0.0086490800000007,0.3744056942969556,1.0,207.23,69.89,231277.80726728754,705409.9298898268
2.3805317,2.96489,0.4685260000000006,-0.5065690000000338,-0.0465789999999449,0.3051914623230609,-0.3273655879464373,-0.047213414688802,-4.879999999594584e-06,-0.00161736,0.0078490800000007,0.4500435127551354,1.0,184.26,71.36,261355.69304244005,690672.6457399103
2.4996957,3.084054,0.4035260000000007,-0.3915690000000336,-0.0565789999999449,0.3286990438851507,-0.342713877378303,-0.0494523255107729,-4.879999999594584e-06,-0.00121736,0.0078490800000007,0.4774320849053887,1.0,201.86,70.87,237696.42326364806,695517.1440666008
2.6096978,3.1940561,0.4285260000000006,-0.4065690000000337,-0.0565789999999449,0.3525633988554728,-0.357978905705574,-0.0511560085277315,-0.0004048799999995,-0.00121736,0.0082490800000007,0.50504136895028,1.0,208.7,70.38,229578.34211787255,700429.0991759022
2.7197461,3.3041044,0.4435260000000003,-0.3465690000000336,-0.0665789999999449,0.3743086657374899,-0.3552512853259478,-0.0548429860488501,-4.879999999594584e-06,-0.00121736,0.0090490800000007,0.5189587710894501,1.0,202.35,70.38,237096.61477637757,700429.0991759022
2.8305447,3.414903,0.4685260000000006,-0.456569000000034,-0.0565789999999449,0.3968320000822858,-0.3794720168985147,-0.0552579927241483,-4.879999999594584e-06,-0.00161736,0.0090490800000007,0.5518406415426794,1.0,203.81,70.38,235326.5296109121,700429.0991759022
2.9405496,3.5249079,0.4035260000000007,-0.4165690000000339,-0.0565789999999449,0.3984322491174649,-0.3883403186830965,-0.0555737890558697,-4.879999999594584e-06,-0.00121736,0.0082490800000007,0.5591465874721198,1.0,196.48,70.38,244478.8273615635,700429.0991759022
3.0505506,3.6349089,0.4435260000000003,-0.4165690000000339,-0.0365789999999449,0.4092122360056358,-0.3950885888649145,-0.0510329475210897,-4.879999999594584e-06,-0.00161736,0.0082490800000007,0.5710989484149764,1.0,191.59,69.89,250973.954799311,705409.9298898268
3.1605408,3.7448991,0.4235260000000007,-0.456569000000034,-0.0365789999999449,0.4126340446855473,-0.4097859252573197,-0.0475776269564702,-4.879999999594584e-06,-0.00161736,0.0070490800000007,0.5834852097177451,1.0,195.99,70.38,245115.05689065767,700429.0991759022
3.2722037,3.856562,0.3385260000000003,-0.3565690000000339,-0.026578999999945,0.3949179812758036,-0.3970640348562154,-0.0425577534966067,-4.879999999594584e-06,-0.00121736,0.0070490800000007,0.561632639804643,1.0,200.39,69.89,239513.448774889,705409.9298898268
3.3822105,3.9665688,0.3835260000000007,-0.3815690000000338,-0.0465789999999449,0.3921946458605852,-0.3933598348437458,-0.043519061521149,-4.879999999594584e-06,-0.00121736,0.0074490800000007,0.5571736790496213,1.0,208.7,70.38,229578.34211787255,700429.0991759022
3.493069,4.0774273,0.4035260000000007,-0.4665690000000337,-0.0365789999999449,0.3949034879209033,-0.4108610146088643,-0.0418599896822026,-4.879999999594584e-06,-0.00121736,0.0078490800000007,0.5714086075950506,1.0,203.32,68.91,235917.7650993508,715584.0951966333
3.603103500000001,4.1874618,0.4035260000000007,-0.3915690000000336,-0.0465789999999449,0.3969647617190819,-0.4062491191586204,-0.0429881031869522,-4.879999999594584e-06,-0.00161736,0.0078490800000007,0.569620352409791,1.0,207.72,70.38,230708.64625457345,700429.0991759022
3.7130861,4.2974444,0.4885260000000007,-0.3965690000000339,-0.0665789999999449,0.418853137132875,-0.4039350167483481,-0.0486276774815525,-4.879999999594584e-06,-0.00161736,0.0078490800000007,0.5839230251144316,1.0,198.44,70.38,241965.32957065108,700429.0991759022
3.823071600000001,4.4074299,0.4485260000000006,-0.3465690000000336,-0.0565789999999449,0.4259466493464707,-0.3902212560548918,-0.0505284985668325,-0.0004048799999995,-0.00121736,0.0074490800000007,0.579876112574023,1.0,202.83,72.83,236511.85722033228,676530.275985171
3.9330668,4.5174251,0.4235260000000007,-0.4815690000000339,-0.0465789999999449,0.4253679756343686,-0.4120585941055175,-0.049584342404778,-4.879999999594584e-06,-0.00161736,0.0066490800000007,0.5942969011219987,1.0,188.17,68.43,255717.17064356702,720673.6811340054
4.0434097,4.627768,0.4935260000000006,-0.3715690000000335,-0.0465789999999449,0.4416616437060062,-0.4023792641535368,-0.0488658935934791,-0.0004048799999995,-0.00161736,0.0066490800000007,0.5994680602822157,1.0,170.09,71.36,283962.0201070022,690672.6457399103
4.1545014,4.7388597,0.4035260000000007,-0.3465690000000336,-0.0565789999999449,0.4325450426010421,-0.3890374173560212,-0.0507097673964227,-4.879999999594584e-06,-0.00161736,0.0062490800000007,0.5839664429495754,1.0,153.96,68.91,314759.67783839954,715584.0951966333
4.2655712,4.8499295,0.3835260000000007,-0.456569000000034,-0.086578999999945,0.4208266863727831,-0.4051813300089347,-0.0592845665556667,-4.879999999594584e-06,-0.00121736,0.0074490800000007,0.5871811219572708,1.0,197.95,69.89,242589.0376357666,705409.9298898268
4.3847403,4.9690986,0.4485260000000006,-0.4415690000000338,-0.0665789999999449,0.4274484073844274,-0.4138800653706688,-0.0610283535626688,-0.0004048799999995,-0.00161736,0.0082490800000007,0.5981081084764548,1.0,103.13,68.43,474824.97818287596,720673.6811340054
4.4947411,5.0790994,0.4885260000000007,-0.4465690000000337,-0.0565789999999449,0.442049447099931,-0.421694591325956,-0.0599647034531017,-4.879999999594584e-06,-0.00161736,0.0066490800000007,0.6138646493284479,1.0,104.59,68.91,468057.1756382063,715584.0951966333
4.6055774000000005,5.1899357,0.4235260000000007,-0.456569000000034,-0.0465789999999449,0.4376212832645222,-0.4300315706386456,-0.056764754349514,0.0003951200000004,-0.00161736,0.0074490800000007,0.6161670038620929,1.0,102.64,68.43,477139.51675759937,720673.6811340054
