time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,Volt_FSR1,Volt_FSR2,Ohm_FSR1,Ohm_FSR2,V1thers,V2thers
2.0297499,2.5964528,0.3585260000000003,-0.4665690000000337,-0.126578999999945,0.0857082301522457,-0.1115366897628232,-0.0302596243074041,0.0003951200000004,-0.00121736,0.0094490800000007,0.1438818221399209,,38.12,49.36,1301647.429171039,1002965.964343598,0.0,0.0
2.1480515,2.7147544,0.3585260000000003,-0.3915690000000336,-0.106578999999945,0.1509272887637096,-0.1784804363694176,-0.048504322368164,0.0003951200000004,-0.00081736,0.0110490800000007,0.2387194628608583,1.0,37.15,53.27,1335895.0201884252,928614.6048432514,0.0,0.0
2.1570553,2.7237582,0.3335260000000004,-0.4065690000000337,-0.116578999999945,0.1945788297067471,-0.2330066551283025,-0.0647780658010102,0.0003951200000004,-0.00161736,0.0098490800000007,0.3104017076516284,1.0,39.59,61.58,1252945.1881788329,801951.9324455993,0.0,0.0
2.2390796,2.8057825,0.3535260000000004,-0.4415690000000338,-0.126578999999945,0.2325762989378275,-0.2828649902430735,-0.0795520255471544,0.0007951200000004,-0.00121736,0.0098490800000007,0.3747437288354361,1.0,39.59,58.16,1252945.1881788329,849697.386519945,0.0,0.0
2.3490867,2.9157896,0.3785260000000003,-0.4065690000000337,-0.126578999999945,0.2674666292605604,-0.3124373273650819,-0.0907941634946492,-4.879999999594584e-06,-0.00161736,0.0082490800000007,0.4211876795725802,1.0,39.1,63.54,1268772.378516624,776905.8860560277,0.0,0.0
2.4682706,3.0349735,0.2485260000000004,-0.456569000000034,-0.126578999999945,0.2629387350160915,-0.3468930448595581,-0.0993487871569677,-4.879999999594584e-06,-0.00121736,0.0090490800000007,0.4464770368712799,1.0,39.59,61.58,1252945.1881788329,801951.9324455993,0.0,0.0
2.5782707,3.1449736,0.3785260000000003,-0.4815690000000339,-0.146578999999945,0.2905707056678977,-0.3790883047825578,-0.1106395107097517,-4.879999999594584e-06,-0.00161736,0.0098490800000007,0.4902860176930878,1.0,40.57,64.52,1222437.7618930244,764953.5027898327,0.0,0.0
2.6882974,3.2550003,0.4685260000000006,-0.3065690000000336,-0.116578999999945,0.333112204257753,-0.3617520411230703,-0.1120593885291307,0.0003951200000004,-0.00121736,0.0098490800000007,0.5043665199432742,1.0,40.08,68.43,1237504.99001996,720673.6811340054,0.0,0.0
2.7902526,3.3569555,0.3385260000000003,-0.3565690000000339,-0.136578999999945,0.33440641123709,-0.3605129977023372,-0.1179209787713563,-4.879999999594584e-06,-0.00161736,0.0086490800000007,0.5056704723663324,1.0,38.61,60.61,1285001.295001295,814946.3784853985,0.0,0.0
2.9016137,3.4683166,0.3135260000000004,-0.4415690000000338,-0.136578999999945,0.3294147980989019,-0.3798900205686061,-0.122381313524332,0.0003951200000004,-0.00121736,0.0090490800000007,0.5175014230261566,1.0,42.03,67.45,1179626.45729241,731289.8443291327,0.0,0.0
3.0115784,3.5782813,0.3835260000000007,-0.4765690000000335,-0.116578999999945,0.342350471791616,-0.4030018289729979,-0.1209942285626733,-0.0004048799999995,-0.00121736,0.0090490800000007,0.5424517702404519,1.0,41.06,65.49,1207730.1509985386,753475.3397465262,0.0,0.0
3.1224574,3.6891603,0.4035260000000007,-0.4165690000000339,-0.116578999999945,0.3569749237180297,-0.4062451592109726,-0.1199387362808609,0.0003951200000004,-0.00121736,0.0098490800000007,0.5539418074188763,1.0,41.54,66.47,1193659.123736158,742219.0461862495,0.0,0.0
3.2328029,3.7995058,0.3135260000000004,-0.3915690000000336,-0.116578999999945,0.346588144645125,-0.4027367173367371,-0.119135567053481,-4.879999999594584e-06,-0.00161736,0.0102490800000007,0.544530521492483,1.0,39.59,58.16,1252945.1881788329,849697.386519945,0.0,0.0
3.344965,3.9116679,0.3385260000000003,-0.4315690000000336,-0.146578999999945,0.3446608307299137,-0.4096292827805833,-0.1256961179400088,-4.879999999594584e-06,-0.00121736,0.0094490800000007,0.549897037286034,1.0,39.59,65.0,1252945.1881788329,759230.7692307692,0.0,0.0
3.454927,4.0216299,0.2935260000000004,-0.4065690000000337,-0.106578999999945,0.3324366800658181,-0.4088977000756015,-0.121126032801819,-4.879999999594584e-06,-0.00121736,0.0082490800000007,0.5407245058276969,1.0,39.59,70.87,1252945.1881788329,695517.1440666008,0.0,0.0
3.5649388,4.1316417,0.3585260000000003,-0.4415690000000338,-0.126578999999945,0.3386735204551747,-0.4167080103272884,-0.1224296040006432,-4.879999999594584e-06,-0.00121736,0.0090490800000007,0.550757957059345,1.0,39.1,62.56,1268772.378516624,789232.7365728901,0.0,0.0
3.6749579,4.2416608,0.3135260000000004,-0.3965690000000339,-0.136578999999945,0.3326618240344677,-0.4118936344321879,-0.1258121193240045,0.0003951200000004,-0.00121736,0.0086490800000007,0.5441956859664487,1.0,39.59,66.47,1252945.1881788329,742219.0461862495,0.0,0.0
3.7849768,4.3516797,0.2685260000000005,-0.4665690000000337,-0.136578999999945,0.3173296920068044,-0.4249641755247366,-0.1283860199253424,-4.879999999594584e-06,-0.00161736,0.0094490800000007,0.5456882388514736,1.0,41.54,66.96,1193659.123736158,736714.4563918759,0.0,0.0
3.8949655,4.4616684,0.3785260000000003,-0.4315690000000336,-0.126578999999945,0.3319591114908824,-0.426543106526237,-0.1279540387589677,0.0003951200000004,-0.00121736,0.0094490800000007,0.5554350632266569,1.0,38.61,65.49,1285001.295001295,753475.3397465262,0.0,0.0
4.0141508,4.5808537,0.2985260000000007,-0.3815690000000338,-0.116578999999945,0.3239666846812056,-0.4157917214857116,-0.1252347535747718,-4.879999999594584e-06,-0.00121736,0.0098490800000007,0.5417757026134681,1.0,39.1,58.16,1268772.378516624,849697.386519945,0.0,0.0
