time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,Volt_FSR1,Volt_FSR2,Ohm_FSR1,Ohm_FSR2
2.0383043,2.6103942,0.3585260000000003,-0.5165690000000336,-0.086578999999945,0.0857082301522457,-0.1234895509433576,-0.0206973353629766,-4.879999999594584e-06,-0.00161736,0.0106490800000007,0.1517364478269804,,38.61,50.83,1285001.295001295,973671.0603974032
2.156009,2.7280989,0.3385260000000003,-0.4765690000000335,-0.086578999999945,0.1461461442914959,-0.207895743748838,-0.0364468231979407,0.0003951200000004,-0.00121736,0.0098490800000007,0.2567249631052173,1.0,39.1,51.81,1268772.378516624,955064.6593321753
2.1650793,2.7371692,0.2935260000000004,-0.4765690000000335,-0.106578999999945,0.1813783634133148,-0.2721240264466918,-0.0532124266700018,-4.879999999594584e-06,-0.00121736,0.0090490800000007,0.331332399315495,1.0,38.12,48.39,1301647.429171039,1023271.3370531101
2.1741123,2.7462022,0.3185260000000003,-0.3415690000000337,-0.086578999999945,0.2141644966404954,-0.2887253490180714,-0.0611889470516604,-4.879999999594584e-06,-0.00121736,0.0098490800000007,0.3646544200036177,1.0,40.08,55.23,1237504.99001996,895305.0878145936
2.2835795,2.8556694,0.3385260000000003,-0.4765690000000335,-0.096578999999945,0.2438940123576699,-0.3336307306947144,-0.0696491948529126,0.0003951200000004,-0.00121736,0.0090490800000007,0.4190999452057602,1.0,38.61,55.72,1285001.295001295,887343.8621679829
2.3935681,2.965658,0.3185260000000003,-0.4665690000000337,-0.076578999999945,0.2617353281159926,-0.365410584266454,-0.0713058148315252,-4.879999999594584e-06,-0.00121736,0.0094490800000007,0.4550986665622362,1.0,38.61,57.67,1285001.295001295,857001.9074041963
2.5035442,3.0756341,0.2735260000000004,-0.3915690000000336,-0.106578999999945,0.2645539734010881,-0.3716639425057776,-0.0797381245457933,-4.879999999594584e-06,-0.00161736,0.0086490800000007,0.4631209987760457,1.0,38.61,50.83,1285001.295001295,973671.0603974032
2.6144091,3.186499,0.3585260000000003,-0.4915690000000337,-0.086578999999945,0.2870186651768938,-0.4003281126472344,-0.0813734852389293,-4.879999999594584e-06,-0.00121736,0.0090490800000007,0.4992634134758454,1.0,39.1,52.3,1268772.378516624,946022.9445506693
2.7252473,3.2973372,0.4435260000000003,-0.4415690000000338,-0.086578999999945,0.324432874114414,-0.4101870446770358,-0.0826179011451622,-4.879999999594584e-06,-0.00161736,0.0090490800000007,0.5294674862696024,1.0,38.61,44.97,1285001.295001295,1101852.34600845
2.835271,3.4073609,0.3585260000000003,-0.4415690000000338,-0.106578999999945,0.3325830821328319,-0.4176891277880263,-0.0883459749120478,0.0003951200000004,-0.00161736,0.0090490800000007,0.5411845574999867,1.0,38.61,58.65,1285001.295001295,842514.9190110826
2.9452151,3.517305,0.3385260000000003,-0.4315690000000336,-0.096578999999945,0.3340037795783036,-0.4210072115030999,-0.0903141390314776,-4.879999999594584e-06,-0.00121736,0.0094490800000007,0.5449424195446754,1.0,38.61,59.63,1285001.295001295,828504.1086701324
3.0555635,3.6276534,0.3185260000000003,-0.4915690000000337,-0.0665789999999449,0.3303037045646562,-0.4378755167541815,-0.0846400825925857,-4.879999999594584e-06,-0.00121736,0.0098490800000007,0.5549769806065445,1.0,39.59,47.9,1252945.1881788329,1033841.3361169102
3.1664123,3.7385022,0.3785260000000003,-0.5015690000000339,-0.106578999999945,0.3418315926275639,-0.4531019040210289,-0.0898847392770132,-4.879999999594584e-06,-0.00161736,0.0086490800000007,0.5746559314065027,1.0,36.66,51.32,1353884.3426077468,964279.0335151987
3.2772481,3.849338,0.2535260000000003,-0.4765690000000335,-0.106578999999945,0.3207215028247221,-0.4587118828319753,-0.0938756228956703,-4.879999999594584e-06,-0.00121736,0.0090490800000007,0.5675310620569187,1.0,39.59,59.14,1252945.1881788329,835451.4710855597
3.38807,3.9601599,0.4685260000000006,-0.5265690000000338,-0.076578999999945,0.356055235556618,-0.4749336168643965,-0.0897407402483771,0.0003951200000004,-0.00121736,0.0090490800000007,0.600325471436539,1.0,38.12,46.92,1301647.429171039,1055643.6487638534
3.4991803,4.0712702,0.3585260000000003,-0.4915690000000337,-0.076578999999945,0.356645889644649,-0.478910425370502,-0.0865943311667019,-4.879999999594584e-06,-0.00121736,0.0090490800000007,0.603365614133907,1.0,41.06,58.65,1207730.1509985386,842514.9190110826
3.6094353,4.1815252,0.3185260000000003,-0.3915690000000336,-0.106578999999945,0.3475330546618534,-0.4580308267152376,-0.091371810612756,-4.879999999594584e-06,-0.00161736,0.0086490800000007,0.5821685924873449,1.0,38.12,34.7,1301647.429171039,1430922.190201729
3.7197688,4.2918587,0.3985260000000004,-0.4665690000000337,-0.106578999999945,0.3597232865981224,-0.4600719387154079,-0.0950071990865793,0.0003951200000004,-0.00161736,0.0094490800000007,0.5916869101075213,1.0,40.08,66.96,1237504.99001996,736714.4563918759
3.830258900000001,4.4023488,0.3335260000000004,-0.5065690000000338,-0.116578999999945,0.3534606359978419,-0.4711873970921666,-0.100164093921211,0.0003951200000004,-0.00161736,0.0086490800000007,0.5974820751198711,1.0,39.59,60.61,1252945.1881788329,814946.3784853985
3.940611,4.5127009,0.3785260000000003,-0.456569000000034,-0.106578999999945,0.3594526923249892,-0.4676927636696828,-0.1016976235581165,-4.879999999594584e-06,-0.00161736,0.0090490800000007,0.598569265704511,1.0,39.59,50.83,1252945.1881788329,973671.0603974032
4.0510850000000005,4.6231749,0.2335260000000003,-0.3415690000000337,-0.106578999999945,0.3293490068793,-0.4375419668954859,-0.1028645518576986,-4.879999999594584e-06,-0.00121736,0.0098490800000007,0.5572206539209014,1.0,39.1,56.21,1268772.378516624,879521.4374666429
4.1620312,4.7341211,0.3385260000000003,-0.4765690000000335,-0.086578999999945,0.331542833375829,-0.4468716610752215,-0.0989713730456161,-4.879999999594584e-06,-0.00161736,0.0106490800000007,0.5651639271198533,1.0,38.12,43.99,1301647.429171039,1126621.9595362584
4.2720038,4.8440937,0.3835260000000007,-0.4065690000000337,-0.096578999999945,0.3439697848634953,-0.4372370188144646,-0.0983994589874769,0.0003951200000004,-0.00081736,0.0094490800000007,0.5649547566397045,1.0,38.61,39.1,1285001.295001295,1268772.378516624
4.3819358,4.9540257,0.3385260000000003,-0.4315690000000336,-0.086578999999945,0.3426684087680943,-0.4358820379733136,-0.0955736928801135,0.0003951200000004,-0.00121736,0.0094490800000007,0.5626269813705784,1.0,39.1,54.74,1268772.378516624,903408.8417975886
4.4919308,5.0640207,0.3785260000000003,-0.4315690000000336,-0.096578999999945,0.3512404249733607,-0.4348509750900938,-0.0958140188090565,0.0003951200000004,-0.00161736,0.0086490800000007,0.5671380192445351,1.0,39.1,49.85,1268772.378516624,993009.0270812437
