Time, FSR1, FSR2, FSR3, FSR4, FSR5, FSR6, Unit
09:47:25.275 91.79,0.00,0.00,0.00,0.00,0.00,N 
09:47:25.389 120.94,0.00,0.00,0.00,0.00,0.00,N 
09:47:25.503 46.50,0.00,0.00,0.00,0.00,0.00,N 
09:47:25.619 14.85,0.00,0.00,0.00,0.00,0.00,N 
09:47:25.733 1.88,0.00,0.00,0.00,0.00,0.00,N 
09:47:25.847 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:25.961 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.075 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.189 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.304 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.418 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.532 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.646 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.760 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.874 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:26.988 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.102 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.217 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.331 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.445 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.559 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.673 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.786 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:27.903 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.017 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.131 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.245 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.359 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.473 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.587 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.701 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.815 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:28.929 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.043 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.157 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.271 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.385 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.499 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.613 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.726 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.840 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:29.954 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.067 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.182 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.296 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.411 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.525 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.639 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.753 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.867 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:30.983 2.01,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.098 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.211 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.325 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.439 6.86,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.553 3.37,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.667 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:31.782 6.42,0.00,0.00,0.00,0.00,0.00,N 
