Time,Fx,Fy,Fz,Mx,My,Mz
63132,0.107217,-0.04479,-0.0026855,-3.548e-05,-0.00017508,-0.00100368
63962,0.0422175,0.02021,-0.0076855,-3.548e-05,-0.00017508,-0.00060368
64826,0.0622175,0.08021,0.0123145,-3.548e-05,-0.00017508,0.00019632
65637,0.0222175,0.05521,-0.0176855,-3.548e-05,-0.00017508,0.00099632
66444,-0.0027825,-0.00479,0.0173145,-3.548e-05,-0.00017508,0.00139632
67328,0.0422175,-0.02979,0.0273145,-0.00043548,-0.00017508,0.00019632
68119,-0.0427825,-0.00479,0.0023145,-3.548e-05,-0.00017508,-0.00020368
68959,0.0022175,-0.00479,0.0173145,-3.548e-05,0.00022492,0.00059632
69846,0.0672175,0.03021,0.0123145,-3.548e-05,0.00022492,-0.00020368
70639,0.0222175,0.05521,0.0123145,-3.548e-05,-0.00017508,-0.00060368
71487,0.0222175,0.08021,-0.0076855,-3.548e-05,-0.00017508,-0.00140368
72331,0.0222175,0.03021,-0.0276855,-3.548e-05,0.00022492,-0.00100368
73135,0.0422175,-0.02979,-0.0026855,-3.548e-05,0.00022492,0.00019632
74000,-0.0027825,0.04521,-0.0076855,-3.548e-05,-0.00017508,0.00019632
74786,-0.0027825,0.04021,-0.0076855,0.00036452,-0.00017508,-0.00060368
75617,-0.0027825,0.02021,0.0123145,0.00036452,-0.00017508,-0.00060368
76469,-0.0427825,-0.02979,0.0073145,-3.548e-05,0.00022492,0.00019632
77319,0.0222175,0.03021,0.0223145,0.00036452,0.00022492,0.00059632
78156,0.0422175,-0.00479,0.0373145,0.00036452,0.00022492,-0.00020368
79001,0.0422175,-0.02979,0.0073145,-3.548e-05,0.00022492,0.00019632
79786,0.0422175,-0.02979,0.0073145,-3.548e-05,-0.00017508,0.00019632
80605,0.0422175,-0.02979,0.0173145,-3.548e-05,0.00022492,0.00019632
81437,0.0022175,-0.00479,0.0273145,-3.548e-05,0.00022492,-0.00100368
82334,0.0622175,0.00521,0.0023145,-3.548e-05,0.00022492,-0.00060368
83327,-0.0227825,0.05521,0.0023145,-3.548e-05,0.00022492,-0.00060368
85226,-0.0427825,-0.00479,0.0273145,-3.548e-05,0.00022492,0.00059632
85686,-0.0677825,0.00521,0.0023145,-3.548e-05,0.00022492,0.00019632
86106,-0.0877825,-0.00479,0.0123145,0.00036452,-0.00017508,-0.00100368
86561,-0.0227825,-0.01979,0.0223145,-3.548e-05,-0.00017508,-0.00140368
87450,0.0222175,0.05521,0.0023145,-3.548e-05,0.00022492,0.00019632
88131,0.0222175,0.01021,0.0123145,-0.00043548,-0.00017508,0.00099632
89005,-0.0027825,-0.02979,0.0073145,-3.548e-05,-0.00017508,0.00019632
89843,-0.0227825,-0.03979,-0.0176855,-3.548e-05,-0.00017508,-0.00100368
90700,-0.0677825,0.03021,-0.0076855,0.00036452,0.00022492,-0.00100368
91573,-0.0627825,0.03021,0.0023145,0.00036452,0.00022492,-0.00100368
92362,0.0872175,0.04021,0.0123145,0.00036452,0.00022492,-0.00060368
93174,0.0422175,0.02021,0.0173145,0.00036452,0.00022492,0.00019632
94010,-0.0427825,0.07021,0.0223145,-3.548e-05,0.00022492,0.00059632
94844,-0.0027825,0.06521,0.0023145,0.00036452,-0.00017508,-0.00100368
95616,0.0422175,0.02021,-0.0176855,0.00036452,-0.00017508,0.00019632
96528,-0.0027825,-0.02979,-0.0026855,0.00036452,0.00022492,0.00099632
97416,-0.0027825,-0.07979,0.0273145,0.00036452,0.00022492,-0.00100368
98159,-0.0427825,0.02021,0.0023145,-3.548e-05,0.00022492,-0.00140368
99097,0.0022175,-0.00479,-0.0076855,-3.548e-05,-0.00017508,0.00059632
99817,0.0422175,0.02021,-0.0076855,-3.548e-05,-0.00017508,0.00099632
100651,-0.0227825,0.03021,-0.0076855,-3.548e-05,-0.00017508,-0.00020368
101461,0.0222175,0.03021,0.0123145,-3.548e-05,-0.00017508,-0.00100368
102326,0.0422175,0.09021,0.0123145,-3.548e-05,-0.00017508,-0.00060368
103135,-0.0227825,-0.01979,0.0173145,-3.548e-05,-0.00017508,-0.00060368
103984,-0.0227825,-0.06479,0.0173145,-3.548e-05,-0.00017508,-0.00060368
104838,-0.0227825,0.00521,0.0323145,-3.548e-05,0.00022492,-0.00060368
105654,-0.0227825,0.00521,0.0223145,-3.548e-05,-0.00017508,0.00019632
106549,-0.0227825,0.00521,0.0223145,0.00036452,-0.00017508,0.00019632
107297,0.0222175,0.03021,0.0123145,-3.548e-05,0.00022492,0.00059632
108152,0.0022175,-0.05479,-0.0126855,-3.548e-05,0.00022492,-0.00060368
108964,-0.0177825,-0.01479,0.0073145,-3.548e-05,0.00022492,-0.00060368
109825,-0.0427825,-0.02979,-0.0276855,-3.548e-05,0.00022492,0.00019632
110650,0.0422175,-0.02979,-0.0176855,-3.548e-05,-0.00017508,-0.00140368
111493,-0.0427825,-0.05479,0.0073145,-3.548e-05,0.00022492,-0.00060368
112327,-0.0427825,0.02021,-0.0076855,-3.548e-05,-0.00017508,0.00019632
113173,0.0222175,0.03021,0.0223145,-3.548e-05,0.00022492,-0.00020368
113984,-0.0027825,0.09021,-0.0076855,-3.548e-05,-0.00017508,-0.00060368
114788,-0.0227825,0.08021,0.0023145,0.00036452,0.00022492,0.00019632
115665,-0.0027825,-0.00479,0.0023145,0.00036452,-0.00017508,0.00059632
116438,-0.0027825,-0.05479,-0.0126855,-3.548e-05,-0.00017508,0.00019632
117346,-0.0227825,-0.01979,0.0023145,-3.548e-05,-0.00017508,-0.00140368
118153,0.0222175,-0.03979,0.0073145,-0.00043548,-0.00017508,-0.00020368
119046,0.0422175,-0.02979,0.0173145,-3.548e-05,-0.00017508,0.00019632
119889,-0.0877825,0.02021,0.0323145,-3.548e-05,0.00022492,-0.00060368
120647,-0.0877825,0.07021,0.0023145,-3.548e-05,0.00022492,-0.00020368
121468,0.0222175,0.01021,-0.0176855,-3.548e-05,0.00022492,0.00019632
122327,0.0422175,-0.02979,-0.0126855,-3.548e-05,0.00022492,0.00099632
123129,0.0222175,-0.01979,-0.0176855,-3.548e-05,-0.00017508,-0.00060368
123939,0.0222175,-0.03979,0.0173145,-3.548e-05,-0.00017508,-0.00020368
