Time, FSR1, FSR2, FSR3, FSR4, FSR5, FSR6, Unit
09:47:10.534, 0.00,0.00,27.17,0.00,0.00,0.00,N 
09:47:10.647, 0.00,0.00,30.66,0.00,0.00,0.00,N 
09:47:10.761, 0.00,0.00,31.47,0.00,0.00,0.00,N 
09:47:11.102, 0.00,0.00,53.81,0.00,0.00,0.00,N 
09:47:11.216, 0.00,0.00,66.81,0.00,0.00,0.00,N 
09:47:11.330, 0.00,0.00,73.69,0.00,0.00,0.00,N 
09:47:11.444, 0.00,0.00,74.52,0.00,0.00,0.00,N 
09:47:11.558, 0.00,0.00,74.52,0.00,0.00,0.00,N 
09:47:11.671, 0.00,0.00,81.53,0.00,0.00,0.00,N 
09:47:11.787, 0.00,0.00,68.29,0.00,0.00,0.00,N 
09:47:11.903, 0.00,0.00,49.72,0.00,0.00,0.00,N 
09:47:12.016, 0.00,0.00,44.25,0.00,0.00,0.00,N 
09:47:12.130, 0.00,0.00,53.08,0.00,0.00,0.00,N 
09:47:12.244, 0.00,0.00,68.99,0.00,0.00,0.00,N 
09:47:12.358, 0.00,0.00,46.06,0.00,0.00,0.00,N 
09:47:12.473, 0.00,0.00,21.56,0.00,0.00,0.00,N 
09:47:12.587, 0.00,0.00,18.08,0.00,0.00,0.00,N 
09:47:12.701, 0.00,0.00,24.61,0.00,0.00,0.00,N 
09:47:12.815, 0.00,0.00,25.59,0.00,0.00,0.00,N 
09:47:12.929, 0.00,0.00,27.70,0.00,0.00,0.00,N 
09:47:13.043, 0.00,0.00,35.97,0.00,0.00,0.00,N 
09:47:13.157, 0.00,0.00,94.19,0.00,0.00,0.00,N 
09:47:13.271, 0.00,0.00,320.07,0.00,0.00,0.00,N 
09:47:13.385, 0.00,0.00,320.07,0.00,0.00,0.00,N 
09:47:13.500, 0.00,0.00, inf,0.00,0.00,0.00,N 
09:47:13.613, 0.00,0.00, inf,0.00,0.00,0.00,N 
09:47:13.726, 0.00,0.00, inf,0.00,0.00,0.00,N 
09:47:13.840, 0.00,0.00, inf,0.00,0.00,0.00,N 
09:47:13.954, 0.00,0.00, inf,0.00,0.00,0.00,N 
09:47:14.068, 0.00,0.00,441.38,0.00,0.00,0.00,N 
09:47:14.182, 0.00,0.00,55.96,0.00,0.00,0.00,N 
09:47:14.297, 0.00,0.00,14.03,0.00,0.00,0.00,N 
09:47:14.411, 0.00,0.00,2.57,0.00,0.00,0.00,N 
09:47:14.525, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:14.639, 0.00,0.00,0.00,0.00,0.00,0.00,N 
09:47:14.753, 0.00,0.00,0.00,0.00,0.00,0.00,N 
