Sample,Value
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0006240316094840629
32,0.002471773984883215
33,0.005506698446617901
34,0.009692276315108567
35,0.014991978910775656
36,0.021369277554039615
37,0.028787643565320892
38,0.037210548265039924
39,0.04660146297361716
40,0.05692385901147306
41,0.06814120769902804
42,0.08021698035670255
43,0.09311464830491707
44,0.10679768286409203
45,0.12122955535464781
46,0.13637373709700498
47,0.15219369941158387
48,0.16865291361880494
49,0.18571485103908875
50,0.20334298299285564
51,0.22150078080052604
52,0.24015171578252043
53,0.25925925925925924
54,0.27878688255116296
55,0.29869805697865204
56,0.3189562538621469
57,0.33952494452206794
58,0.36036760027883563
59,0.38144769245287036
60,0.4027286923645928
61,0.4241740713344231
62,0.4457473006827819
63,0.46741185173008964
64,0.4891311957967666
65,0.5108688042032334
66,0.5325881482699104
67,0.5542526993172181
68,0.5758259286655768
69,0.5972713076354071
70,0.6185523075471296
71,0.6396323997211644
72,0.6604750554779322
73,0.6810437461378531
74,0.7013019430213481
75,0.721213117448837
76,0.7407407407407407
77,0.7598482842174796
78,0.778499219199474
79,0.7966570170071444
80,0.8142851489609113
81,0.8313470863811951
82,0.8478063005884161
83,0.8636262629029949
84,0.8787704446453523
85,0.893202317135908
86,0.906885351695083
87,0.9197830196432973
88,0.931858792300972
89,0.943076140988527
90,0.9533985370263829
91,0.9627894517349601
92,0.9712123564346791
93,0.9786307224459604
94,0.9850080210892244
95,0.9903077236848914
96,0.9944933015533821
97,0.9975282260151168
98,0.9993759683905159
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,0.9993759683905159
182,0.9975282260151168
183,0.9944933015533821
184,0.9903077236848914
185,0.9850080210892244
186,0.9786307224459604
187,0.9712123564346791
188,0.9627894517349601
189,0.9533985370263829
190,0.943076140988527
191,0.931858792300972
192,0.9197830196432973
193,0.906885351695083
194,0.893202317135908
195,0.8787704446453523
196,0.8636262629029949
197,0.8478063005884161
198,0.8313470863811949
199,0.8142851489609113
200,0.7966570170071444
201,0.778499219199474
202,0.7598482842174795
203,0.7407407407407408
204,0.721213117448837
205,0.701301943021348
206,0.6810437461378531
207,0.6604750554779322
208,0.6396323997211644
209,0.6185523075471296
210,0.5972713076354073
211,0.5758259286655768
212,0.554252699317218
213,0.5325881482699104
214,0.5108688042032334
215,0.4891311957967665
216,0.46741185173008964
217,0.4457473006827819
218,0.4241740713344231
219,0.40272869236459274
220,0.38144769245287036
221,0.36036760027883563
222,0.33952494452206783
223,0.3189562538621469
224,0.2986980569786519
225,0.27878688255116296
226,0.2592592592592593
227,0.24015171578252037
228,0.22150078080052604
229,0.20334298299285555
230,0.18571485103908875
231,0.1686529136188049
232,0.15219369941158384
233,0.13637373709700495
234,0.12122955535464777
235,0.10679768286409203
236,0.09311464830491702
237,0.08021698035670255
238,0.06814120769902807
239,0.05692385901147304
240,0.046601462973617176
241,0.037210548265039896
242,0.028787643565320892
243,0.021369277554039588
244,0.014991978910775654
245,0.009692276315108578
246,0.005506698446617894
247,0.0024717739848832175
248,0.0006240316094840589
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0006240316094840629
382,0.002471773984883215
383,0.005506698446617901
384,0.009692276315108567
385,0.014991978910775656
386,0.021369277554039615
387,0.028787643565320892
388,0.037210548265039924
389,0.04660146297361716
390,0.05692385901147306
391,0.06814120769902804
392,0.08021698035670255
393,0.09311464830491707
394,0.10679768286409203
395,0.12122955535464781
396,0.13637373709700498
397,0.15219369941158387
398,0.16865291361880494
399,0.18571485103908875
400,0.20334298299285564
401,0.22150078080052604
402,0.24015171578252043
403,0.25925925925925924
404,0.27878688255116296
405,0.29869805697865204
406,0.3189562538621469
407,0.33952494452206794
408,0.36036760027883563
409,0.38144769245287036
410,0.4027286923645928
411,0.4241740713344231
412,0.4457473006827819
413,0.46741185173008964
414,0.4891311957967666
415,0.5108688042032334
416,0.5325881482699104
417,0.5542526993172181
418,0.5758259286655768
419,0.5972713076354071
420,0.6185523075471296
421,0.6396323997211644
422,0.6604750554779322
423,0.6810437461378531
