time,world_time,Fx,Fy,Fz,LPF_Fx,LPF_Fy,LPF_Fz,Mx,My,Mz,force_magnitude,touch_count,V_SidePalm[mV],V_ThumpPalm[mV],V_UpperPalm[mV],V_Middle[mV],V_Index[mV],V_Thump[mV]
2.003035200003069,310540.2053112,-0.02173249999997351,-0.4115449999999945,0.21252449999998435,-0.005195311112112949,-0.09838280509085938,0.05080551691924597,0.0014075600000009042,0.003127639999999034,0.01195752000000145,0.11084840163272297,,0.0,0.0,0.0,0.0,0.0,0.0
2.1807223000214435,310540.3829983,-0.026732499999973403,-0.5115449999999945,0.22252449999998436,-0.010343931692023835,-0.19715221230673524,0.09185618025577805,0.0018075600000009052,0.003127639999999034,0.01195752000000145,0.2177465260147019,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1903356999973767,310540.3926117,-0.06673249999997344,-0.4365449999999945,0.21252449999998435,-0.02382402627510391,-0.25438078748510873,0.1207028137515948,0.0018075600000009052,0.0027276399999990337,0.01195752000000145,0.28257094421941736,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1994086999911815,310540.4016847,0.018267500000026526,-0.4165449999999945,0.22252449999998436,-0.013761742866234893,-0.2931473138979309,0.1450440233694934,0.0018075600000009052,0.003127639999999034,0.009957520000001448,0.32735684188282754,1.0,0.0,0.0,0.0,0.0,0.49,0.0
2.2180493000196293,310540.4203253,-0.0017324999999734914,-0.35154499999999456,0.2475244999999845,-0.010886065464487766,-0.30710770260277875,0.16954272158707862,0.0018075600000009052,0.003127639999999034,0.012357520000001447,0.3509677789518684,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3363996000261977,310540.5386756,-0.02173249999997351,-0.3915449999999945,0.20752449999998446,-0.013478983990616072,-0.3272930484877471,0.17862254008226425,0.0014075600000009042,0.003127639999999034,0.011557520000001452,0.37310646526596425,1.0,0.0,0.0,0.0,0.0,0.49,0.0
2.446410399978049,310540.6486864,-0.02173249999997351,-0.46154499999999454,0.22252449999998436,-0.015452046612839429,-0.35938694728058174,0.18911762073126215,0.0014075600000009042,0.003127639999999034,0.01315752000000145,0.40640277815393255,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.548630499979481,310540.7509065,-0.04673249999997342,-0.45154499999999453,0.21252449999998435,-0.02292986495285123,-0.38141799549705196,0.19471320430263345,0.0014075600000009042,0.0027276399999990337,0.01075752000000145,0.42885743310049346,1.0,0.0,0.0,0.0,0.0,0.49,0.49
2.659737400012091,310540.8620134,0.018267500000026526,-0.4415449999999945,0.18252449999998432,-0.01308133726714,-0.39579179025755273,0.1917994064926305,0.0018075600000009052,0.003127639999999034,0.011157520000001447,0.4400105395907018,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7705430000205524,310540.972819,-0.04173249999997353,-0.4215449999999945,0.21252449999998435,-0.019930604683269203,-0.4019482810776446,0.1967538898055704,0.0014075600000009042,0.003127639999999034,0.013957520000001451,0.4479639972340818,1.0,0.0,0.0,0.0,0.0,1.47,0.98
2.8814538000151515,310541.0837298,-0.06673249999997344,-0.48654499999999445,0.22252449999998436,-0.03111893583739859,-0.42217173782979533,0.20291454032940032,0.0014075600000009042,0.0027276399999990337,0.011557520000001452,0.46943761573501264,1.0,0.0,0.0,0.0,0.0,0.0,0.0
